GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
SNORA26,47.0,34.0,33.0,43.5,48.0,34.0,67.0,75.5
SNORA28,11.5,10.5,8.5,12.0,11.0,11.0,14.0,12.0
SNORA29,20.5,11.0,7.0,5.0,21.0,11.0,18.0,13.0
SNORA31,188.5,162.5,96.5,142.0,136.0,147.0,134.0,116.5
SNORA2C,36.0,20.5,32.0,39.0,15.0,22.0,40.0,32.5
SNORA36A,9.0,6.5,6.5,8.5,13.0,11.0,7.0,8.5
SNORA36B,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SNORA38,1.0,0.5,1.0,2.0,3.0,1.0,2.0,1.5
677821,1.0,3.0,0.0,0.5,3.0,1.0,1.0,2.0
677822,337.5,243.5,156.0,177.5,223.0,234.0,200.0,256.0
SNORA80E,4.5,2.0,5.5,7.5,5.0,2.0,5.0,4.5
SNORA17B,32.5,34.5,23.5,33.0,21.0,23.0,36.0,47.5
SNORA44,62.5,34.0,26.5,36.0,33.0,28.0,68.0,60.5
SNORA3B,50.0,31.5,17.0,24.0,21.0,22.0,18.0,29.0
SNORA46,1.0,4.5,2.0,1.5,5.0,4.0,1.0,2.5
SNORA49,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0
SNORA50A,5.0,5.0,6.0,7.0,7.0,8.0,4.0,6.0
SNORA51,46.0,25.5,22.0,24.5,28.0,29.0,14.0,19.5
SNORA53,7.5,10.0,4.5,6.5,10.0,6.0,4.0,6.5
SNORA55,33.5,23.5,14.0,12.0,21.0,15.0,15.0,16.0
SNORA56,17.5,18.0,14.0,18.5,25.0,20.0,20.0,34.0
677836,6.0,4.5,4.5,4.0,6.0,5.0,5.0,8.5
677837,2.5,2.0,0.5,3.5,3.0,4.0,2.0,3.5
SNORA61,233.5,186.0,117.5,132.5,147.0,141.0,239.0,265.5
677839,11.5,8.5,9.5,13.0,19.0,13.0,9.0,20.0
677840,3.0,2.0,0.5,2.0,3.0,3.0,1.0,2.0
SNORA50C,11.5,10.5,7.0,15.5,17.0,19.0,9.0,10.5
SNORA77,4.5,3.0,0.0,1.0,3.0,3.0,1.0,0.0
SNORA78,10.0,3.5,4.5,7.5,9.0,11.0,7.0,5.5
SNORA81,69.5,43.5,31.0,34.5,47.0,44.0,45.0,62.0
677848,7.5,4.5,2.5,4.0,4.0,3.0,4.0,3.5
SNORD1B,6.5,4.5,2.0,4.0,6.0,0.0,6.0,7.5
677850,9.0,9.0,7.0,7.5,11.0,9.0,17.0,24.0
SNORA59A,1.5,1.5,0.0,2.0,1.0,2.0,2.0,1.5
CD27-AS1,57.0,40.5,27.0,28.5,29.0,38.0,43.0,52.5
SNORA25,79.0,73.5,42.5,53.5,73.0,73.0,109.0,89.5
SNORD9,1.5,2.5,0.5,1.5,1.0,1.0,1.0,0.5
SNORD12,28.5,13.0,9.0,12.5,20.0,16.0,15.0,21.0
SNORD11,29.0,12.5,9.0,13.5,20.0,23.0,24.0,20.0
SNORA32,68.0,48.5,33.0,27.5,43.0,42.0,53.0,68.0
