,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
267,31,44,24,38,28,9,59,48,82,44,67,66,ATR
268,33,44,39,58,51,58,103,78,137,82,147,125,ATRX
269,34,30,34,42,19,16,0,0,1,0,0,0,KIF1A
270,6,9,8,6,9,2,5,6,13,6,2,4,AUH
271,106,71,80,82,68,45,64,63,74,42,72,27,AUP1
272,2,2,1,1,3,0,1,1,3,0,0,1,AXL
273,0,0,0,0,0,0,8,6,10,8,6,6,AZU1
274,268,248,205,242,258,175,725,560,945,640,1146,726,B2M
275,5,3,5,5,4,2,0,1,1,4,1,0,BAAT
276,115,124,124,115,128,83,154,122,181,106,158,137,BACH1
277,1,3,6,4,2,0,5,10,4,6,4,3,BAD
278,137,204,149,163,152,95,250,214,366,176,317,245,BAG1
279,2,7,3,2,3,4,0,0,0,0,0,0,BAGE
280,0,0,0,0,0,0,0,1,1,0,0,0,ADGRB1
281,19,17,19,13,15,25,33,23,57,16,47,27,BAK1
282,8,2,0,3,5,4,1,1,3,0,2,5,NKX3-2
283,134,140,118,157,120,108,340,359,553,314,429,362,BARD1
284,5,2,6,3,3,1,16,14,14,6,29,10,BAX
285,7,0,1,8,9,7,4,1,9,5,6,2,BBS1
286,8,2,3,10,4,1,3,10,21,9,22,12,BBS2
287,28,20,12,28,12,19,30,14,16,18,14,9,BBS4
288,119,139,104,121,109,87,82,91,123,86,111,105,BCAT1
289,10,13,8,14,12,7,15,13,41,8,11,18,BCAT2
290,6,19,8,7,18,7,62,63,77,37,70,61,BCKDHA
291,3,2,10,3,0,5,17,11,22,6,10,11,BCKDHB
292,12,11,11,6,3,4,4,0,3,0,0,0,CCND1
293,14,7,0,5,7,8,604,507,831,484,833,617,BCL2
294,65,68,77,46,26,23,16,14,23,16,20,12,BCL2L1
295,22,20,18,19,5,8,20,18,31,8,28,10,BCL2L2
296,1,6,5,2,0,1,70,39,65,35,45,22,BCL3
297,8,6,2,12,6,1,49,23,49,15,25,14,BCL6
298,167,193,139,133,149,102,188,149,214,93,176,124,BCL7A
299,14,7,4,13,10,9,1,6,22,7,5,15,BCL9
300,1,5,6,4,4,4,17,3,13,9,0,5,BCR
301,11,22,10,14,17,10,8,20,31,14,8,19,BCS1L
302,0,0,0,0,0,0,75,43,58,31,54,52,BDH1
303,0,0,0,0,1,0,7,11,9,6,5,9,BFSP1
304,0,0,0,1,1,1,3,1,6,2,3,3,BGLAP
305,2,0,0,1,0,0,5,0,10,3,2,1,BICD1
306,51,47,39,27,44,44,160,142,250,111,188,142,BID
307,0,0,0,0,0,1,40,36,80,28,75,52,BIK
308,29,15,22,15,10,5,208,155,282,68,99,64,PRDM1
309,0,0,0,0,0,0,0,0,0,0,1,1,BLK
310,55,44,54,43,50,23,101,81,132,50,87,69,BLM
311,123,85,95,82,68,59,67,35,64,41,45,39,BLMH
312,29,24,17,17,15,12,0,0,2,1,0,1,BLVRA
313,87,47,56,57,42,35,3,9,8,7,4,10,BLVRB
314,210,208,170,168,150,107,61,67,109,36,63,69,BMI1
315,8,7,5,0,2,0,9,7,11,8,5,2,BMP1
316,1,1,0,1,0,0,7,4,19,3,3,2,BMP2
317,29,20,27,12,26,11,17,15,17,14,15,12,BMPR1A
318,30,20,14,12,17,15,11,6,10,8,12,4,BMPR2
319,19,6,7,7,3,2,0,0,0,0,0,0,BMX
320,39,56,40,42,21,16,44,54,88,27,50,42,POLR3D
321,42,36,41,31,38,21,49,25,46,26,64,25,BNIP1
322,207,232,184,282,237,187,701,556,955,475,904,558,BNIP2
323,76,73,60,84,96,52,20,30,39,26,28,39,BNIP3
324,68,52,57,34,36,26,53,51,77,58,73,71,BNIP3L
325,4,0,1,1,0,0,0,0,0,0,0,0,BOK
326,8,4,11,7,4,7,14,4,10,6,9,10,DST
327,86,102,82,84,82,61,2,0,2,0,3,1,FOXL2
328,44,57,26,58,41,36,24,23,30,10,36,36,BPGM
329,9,5,3,6,7,3,1,1,3,4,7,3,BPHL
330,42,40,23,42,33,24,69,65,86,42,56,57,BRCA1
331,0,3,2,4,1,0,0,1,4,0,3,1,BRAF
332,2,2,5,12,1,8,12,10,21,13,15,17,BRCA2
333,871,870,719,488,513,337,222,180,277,52,114,66,ZFP36L1
334,1832,1998,1782,1478,1325,1023,9432,7989,13116,5986,9874,7445,ZFP36L2
335,18,13,10,32,20,15,29,40,42,30,44,44,BSG
336,0,0,0,0,0,0,8,3,6,0,4,5,BST1
337,4,2,6,4,2,2,25,13,38,17,26,36,BST2
338,9,7,5,7,5,10,4,8,10,7,7,14,BTD
339,117,126,136,111,90,71,107,127,185,82,146,108,KLF9
340,33,17,16,29,43,18,27,17,41,24,46,26,KLF5
341,709,865,707,783,653,529,706,536,996,570,667,656,BTF3
342,661,665,574,841,785,591,777,641,1128,976,1580,1096,BTG1
343,0,0,2,0,2,0,7,3,5,3,5,1,BTK
344,47,34,32,50,35,29,52,51,77,49,87,84,BUB1
345,79,71,70,79,61,57,137,145,219,78,108,106,BUB1B
346,274,233,222,219,186,148,189,146,247,97,143,131,BYSL
347,11,10,14,12,8,7,119,96,179,79,94,81,TSPO
348,326,354,305,307,330,239,429,374,658,370,632,451,C1QBP
349,2,0,0,0,1,1,0,0,1,0,1,1,C1R
350,0,0,0,0,0,0,2,1,0,0,0,2,C1S
351,3,2,7,3,1,0,0,0,3,2,0,0,C3AR1
352,0,1,0,0,0,0,0,0,0,2,1,0,CAPN5
353,0,0,0,0,0,0,1,4,5,4,2,5,C5
354,0,0,0,0,0,0,0,0,0,1,0,0,C8G
355,94,95,68,108,71,67,118,123,192,103,183,154,OSGIN2
356,4,2,7,7,2,3,5,7,8,2,3,2,VPS51
357,160,191,162,194,140,114,112,77,126,86,146,102,MRPL49
358,39,29,43,36,52,20,66,42,74,39,46,55,ZNHIT2
359,12,12,7,16,9,3,0,0,1,0,0,0,MYRF
360,64,86,72,88,64,59,155,132,276,137,165,160,TMEM258
361,0,1,2,1,2,2,6,2,6,3,1,1,DAGLA
362,8,1,2,0,2,1,13,16,28,12,16,7,FMNL1
363,0,0,0,0,0,0,217,170,278,124,209,156,LDLRAD4
364,52,75,55,102,60,55,118,126,241,110,159,114,PTTG1IP
365,5,1,1,11,7,2,11,8,14,3,3,3,CFAP410
366,40,38,39,51,53,30,61,55,68,46,87,47,TMEM50B
367,0,0,0,0,0,0,6,2,13,0,6,3,MPPED1
368,0,1,0,1,1,0,0,0,0,0,0,0,CA1
369,0,0,2,0,0,0,0,0,0,0,0,0,CA2
370,0,0,0,1,0,0,0,1,2,0,0,0,CA7
371,46,39,36,61,46,40,0,0,0,0,0,0,CA8
372,5,5,3,1,0,3,5,6,12,4,3,4,CA11
373,0,0,0,0,0,0,0,3,2,0,0,2,CACNA1A
374,0,0,0,0,0,0,0,1,0,1,1,0,CACNA1D
375,64,43,41,22,22,13,0,0,0,0,0,0,DDR1
376,2,2,1,0,3,0,0,0,1,0,0,0,CACNB1
377,1,0,0,0,0,0,0,3,4,0,0,2,CACNB3
378,5,0,0,0,0,0,1,1,3,1,1,2,CACNB4
379,7,8,5,14,7,1,14,7,21,5,8,7,SLC25A20
380,71,55,51,84,60,37,64,39,83,21,25,32,CAD
381,21,19,29,10,3,3,0,0,0,0,0,0,CALB1
382,132,139,105,252,226,163,311,298,469,444,587,525,CALM1
383,1093,1262,1036,1368,1208,914,868,793,1467,764,1097,986,CALM2
384,224,192,167,192,179,152,309,230,416,259,409,280,CALM3
385,409,362,349,427,432,318,1174,852,1335,969,1400,1107,CALR
386,210,300,225,333,264,190,271,222,318,222,345,247,CALU
387,1,0,0,0,1,0,0,0,0,0,0,0,CAMK2A
388,0,0,0,0,0,0,0,0,0,1,0,1,CAMK2B
389,0,0,0,0,0,0,64,36,71,46,55,59,CAMK2D
390,60,53,55,65,65,44,51,58,79,55,88,71,CAMK2G
391,74,90,63,115,87,79,59,65,89,73,111,69,CAMLG
392,0,0,0,0,0,0,0,4,0,0,0,0,CAMP
393,360,458,379,544,495,356,669,571,1035,589,847,694,CANX
394,1,1,3,0,0,0,21,17,15,6,7,15,CAPG
