,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
12443,208,138,121,159,160,129,283,222,324,240,362,266,HEXD
12444,2729,2752,2443,2796,2735,2130,953,702,1240,656,1332,821,C17orf58
12445,14,10,5,15,15,8,350,212,437,265,413,317,MILR1
12446,45,65,55,83,68,41,92,83,112,53,89,92,RNF227
12447,82,76,69,97,81,60,208,156,246,171,223,192,LINC00324
12448,93,82,65,73,95,50,61,54,79,68,75,72,CDRT4
12449,12,8,9,17,13,8,267,284,437,250,360,337,CCDC144B
12450,1193,1073,1121,1081,1224,881,1305,932,1462,899,1930,1036,KANSL1
12451,111,82,97,107,90,91,75,53,60,61,103,50,FAM171A2
12452,22,7,9,8,7,4,3,1,4,2,0,0,KRT18P55
12453,120,127,132,153,107,106,51,32,48,37,39,41,NEK8
12454,1648,1592,1433,1601,1537,1211,867,611,1039,559,1354,638,PIGW
12455,1305,1143,1259,1429,1335,1106,1240,937,1674,1020,1406,1369,CISD3
12456,14,5,14,10,8,7,73,39,53,30,44,28,TMEM102
12457,4266,4007,3995,4824,4552,3757,1,1,4,1,2,0,CAVIN1
12458,28,14,12,31,28,17,0,0,1,1,0,2,284124
12459,198,227,183,231,226,152,4,3,2,5,10,2,SLC26A11
12460,36,39,57,59,43,25,685,482,834,487,673,585,ENDOV
12461,533,551,502,535,588,496,22,14,28,15,34,24,GDPD1
12462,6281,5578,5451,6333,6047,5104,6587,5128,8838,5148,9478,6824,NDUFAF8
12463,28,11,23,19,16,12,5,4,7,6,8,5,LINC00482
12464,387,310,316,334,364,293,14,15,34,17,24,12,ANKRD20A9P
12465,0,0,1,2,1,2,43,28,68,20,75,23,KCTD1
12466,798,779,728,774,765,620,1108,886,1487,914,1513,1057,ZADH2
12467,8,9,8,7,13,10,104,84,109,68,125,118,ZNF547
12468,2,2,3,4,2,1,4,3,10,4,5,9,ZIK1
12469,303,244,229,292,279,204,516,382,675,376,763,456,ZNF776
12470,128,141,127,157,128,121,381,306,516,287,475,323,ZNF780A
12471,341,314,326,358,349,233,618,521,808,522,562,631,C19orf54
12472,90,80,70,88,87,61,28,17,27,25,36,21,PRR19
12473,46,36,21,41,48,28,82,78,103,60,86,71,TMEM145
12474,40,43,28,29,45,26,216,160,292,176,376,223,ZNF575
12475,161,136,111,100,133,70,107,68,119,70,122,73,ZNF283
12476,189,155,182,204,166,162,271,190,254,196,414,216,PPP1R37
12477,10,8,13,9,18,19,5,4,11,7,15,3,MAMSTR
12478,2293,2260,2208,2818,2530,2161,5176,4006,7144,4474,6681,5277,EMC10
12479,0,1,1,0,0,0,178,143,304,144,191,149,SIGLEC17P
12480,39,32,46,62,37,28,131,103,217,92,198,123,ZNF615
12481,25,34,21,40,28,25,0,0,0,2,1,0,ZNF841
12482,68,53,47,53,52,43,182,133,256,141,306,221,ZNF561-AS1
12483,6,4,6,8,4,3,42,34,90,50,59,47,ZNF763
12484,20,15,17,20,21,18,0,1,0,0,0,1,ZNF844
12485,483,355,372,384,369,312,319,226,353,241,319,304,WDR62
12486,96,79,98,121,89,99,232,145,268,160,237,169,ZFP82
12487,0,0,0,0,0,0,58,36,64,24,78,36,ZNF790-AS1
12488,7,14,3,9,10,13,35,29,60,45,59,38,SMIM24
12489,43,35,46,48,47,28,14,8,12,7,17,8,SLC25A41
12490,1348,1189,1157,1502,1323,1082,327,229,390,266,493,262,SLC25A42
12491,6,4,5,0,8,10,23,23,22,23,40,19,LINC00663
12492,117,137,114,149,146,88,40,39,57,29,79,47,ZNF493
12493,84,59,61,66,55,45,158,163,188,136,236,135,284454
12494,2,0,3,4,4,3,416,329,559,404,470,445,ZNF875
12495,0,4,2,4,0,1,18,28,61,21,39,27,LINC01226
12496,42,48,37,47,48,29,33,39,60,33,34,42,FAM41C
12497,263,322,289,435,320,260,124,105,148,107,172,88,FAM102B
12498,60,66,72,94,104,61,2,1,1,1,1,3,SYPL2
12499,239,188,215,224,213,173,241,225,351,203,419,269,CYB561D1
12500,50,42,46,60,59,39,0,4,5,5,11,2,ANKRD34A
12501,0,0,0,0,0,0,13,7,8,2,14,14,LINC01686
12502,13,19,12,12,12,12,12,7,11,3,8,7,SMG7-AS1
12503,2392,2723,2523,2663,2516,2106,1660,1342,2130,1411,2227,1567,ZNF326
12504,4,3,4,0,3,4,167,126,257,145,220,180,RIMKLA
12505,10,3,3,8,4,3,7,2,7,7,8,3,C20orf204
12506,0,0,1,0,1,0,611,585,907,462,726,520,C20orf197
12507,4,1,1,0,3,1,83,70,112,79,109,102,MIR646HG
12508,4,0,1,3,4,1,60,68,95,43,81,84,SIRPB2
12509,18,22,19,13,14,22,6,1,5,2,1,0,C20orf203
12510,0,0,0,1,0,0,28,31,44,19,30,33,AATBC
12511,766,757,656,784,764,620,308,320,497,236,393,264,TTC28-AS1
12512,50,78,46,100,76,38,58,38,105,65,91,63,CCDC150
12513,500,658,548,869,692,538,403,384,607,364,600,391,RNF149
12514,347,326,338,338,306,254,179,114,191,120,180,183,285074
