	DMSOshBRD4_1	DMSOshBRD4_2	DMSOshBRD4_3	DMSOshSCRAM1	DMSOshSCRAM2	DMSOshSCRAM3	SGCshBRD4_1	SGCshBRD4_2	SGCshBRD4_3	SGCshSCRAM1	SGCshSCRAM2	SGCshSCRAM3
ENSG00000006576	45.22309673	43.93828795	45.99446333	34.20721893	35.65701254	39.51463498	34.95178885	42.96712915	39.81322398	33.59323243	30.53045627	32.51434405
ENSG00000006607	56.12112168	55.8467959	58.39297084	51.57261834	43.5281084	48.10477301	57.04321296	56.96513116	58.47567272	54.6109878	54.56938695	55.62304244
ENSG00000006625	45.51964163	48.29105293	47.35429964	62.13147929	60.59795483	64.34013391	50.88917339	49.70413546	49.53324937	69.73673643	66.23384698	66.48818484
ENSG00000006634	35.2888427	36.95743846	40.07517588	57.0702071	55.19250346	65.37095047	33.13713616	35.18214408	32.03720367	45.7290075	45.54210918	40.62265927
ENSG00000006638	8.080848433	8.212764103	9.118902295	5.759378698	12.32822242	9.706855983	3.787101275	5.763883179	5.209933607	4.221139153	4.564353927	6.000153266
ENSG00000006652	28.02349273	36.21828969	37.11553215	37.8722781	59.27030011	65.54275323	29.42893283	28.07085964	30.71528022	32.88970924	31.13903679	27.32502231
ENSG00000006695	34.47334423	27.34850446	29.75641802	37.26143491	30.34639366	29.03466657	32.58485056	28.44513776	26.36070885	33.06559004	29.21186513	29.27101796
ENSG00000006704	27.28213049	25.623824	26.4768128	37.34869822	36.03634247	30.32318727	29.66562666	30.39138403	32.42600469	37.37466959	32.86334827	34.94683862
ENSG00000006712	90.37205724	73.2578558	76.39080432	91.62647928	71.21919261	72.58666642	83.86851366	75.4544707	71.22834603	78.44283594	69.98676021	68.02876473
ENSG00000006715	79.54816852	85.08423611	86.70956218	58.11736686	66.09823868	72.41486366	90.10145118	89.90160646	86.78038664	74.13375638	67.04528768	66.97468375
ENSG00000006740	26.31835957	35.39701328	33.35598471	57.0702071	71.88301997	73.18797608	25.48403567	28.14571526	29.08231595	35.79174241	44.22351805	42.97407069
ENSG00000006744	126.6246709	118.3459307	113.3463557	151.3145858	107.0658701	98.87248882	137.9925027	121.1164024	124.1052841	140.0011153	140.2778107	134.0304507
ENSG00000006756	48.63336304	48.78381877	48.23419372	28.97142012	33.19136806	35.73497424	44.02505233	35.85584471	40.202025	30.86708006	30.53045627	30.56834839
ENSG00000006757	9.785981588	10.43021041	9.198892666	8.464541419	9.198750577	9.449151842	15.30620099	10.92892135	13.14147432	12.66341746	9.027277767	9.973227726
ENSG00000006831	141.9708693	162.6948569	162.2204724	175.573787	204.6484922	210.2006778	120.6349552	137.8840625	136.6246768	163.1294402	178.7198138	173.0314469
ENSG00000006837	1.408588259	1.396169898	1.999759275	0.610843195	0.663827361	1.030816565	1.735754751	1.946246268	1.321923452	1.582927183	0.608580524	0.567582066
ENSG00000007047	44.11105337	42.13147985	38.55535883	36.65059171	42.48495112	36.59398804	42.99937906	36.60440097	31.88168327	33.59323243	31.95047749	31.70351253
ENSG00000007080	94.30127712	73.99700457	82.39008214	119.0271598	75.96081662	64.25423253	98.85912287	81.29320951	82.34805507	95.15151175	85.50556356	92.02937779
ENSG00000007129	4.670582122	5.995317795	5.5193356	7.068328402	7.586598414	6.958011811	3.629305389	3.742781285	4.199050967	5.804066336	3.854343316	4.946072287
ENSG00000007168	171.1805416	158.4242195	159.9007517	137.7887722	142.7228827	153.0762598	159.2949474	145.6690476	144.4006971	125.4909494	128.5119206	119.9219822
ENSG00000007202	518.5087517	461.3930873	473.7829675	386.0528994	336.5604721	335.5307918	548.4985014	503.7035053	499.7648252	420.7948094	392.7372979	396.0911987
