,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
TCN2,2.5,2.5,2.5,9.0,1.5,4.0
TCOF1,1690.0,1503.5,1609.5,855.0,845.5,1341.0
TCP1,3643.5,4162.5,4268.5,1265.0,4359.5,3710.5
TCP11,0.0,0.0,0.0,0.0,0.0,0.0
TCTA,1375.0,1217.0,1383.5,1031.0,992.5,1265.0
DYNLT3,159.0,554.0,474.5,78.0,91.5,176.5
PPP1R11,126.5,134.5,119.5,58.0,39.0,126.5
DYNLT1,211.5,210.0,234.5,264.0,307.0,209.5
TDG,1311.0,2041.5,2244.0,480.0,625.0,1131.0
PRDX2,2987.5,2332.0,2945.5,1679.0,2316.5,2899.0
TEAD3,1435.5,1190.0,1427.0,394.0,431.0,1045.0
TEC,89.5,128.0,118.0,291.0,296.5,75.5
TEF,269.0,350.5,306.0,105.0,143.5,260.5
TMBIM6,23867.0,22997.0,27573.5,9985.0,11611.0,18951.0
TEP1,247.5,456.0,336.5,435.0,360.0,247.5
TERC,4.5,6.0,4.5,70.0,7.5,2.5
TERF1,663.0,1253.5,1024.5,292.0,377.5,661.0
TERF2,530.5,731.5,729.0,606.0,452.0,503.0
TERT,24.5,23.0,16.5,6.0,35.5,26.5
TESK1,268.5,206.5,255.5,229.0,126.5,224.5
TFAM,3701.5,6175.0,7219.0,747.0,1155.0,2508.5
TFAP2A,22.0,39.5,43.5,0.0,2.5,15.0
TFAP2C,31.5,30.0,55.5,3.0,0.5,11.0
TFAP4,610.5,885.5,757.5,381.0,331.5,569.5
TFCP2,1121.5,1893.5,1655.5,780.0,901.5,1083.5
NR2F2,8.5,60.0,18.5,2.0,0.5,28.5
TFDP1,3808.0,4291.5,4653.5,2206.0,3694.0,3083.5
TFDP2,852.0,893.0,947.5,229.0,254.0,673.0
TFE3,1218.0,1187.5,1178.5,1363.0,742.0,978.5
TFF1,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,0.0,0.0,0.0,0.0,0.0
