,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
100133315,102.0,41.0,13.5,48.0,104.0,67.0,74.5,104.0
100133331,50.0,20.0,4.5,14.0,74.0,27.0,29.5,70.5
LY6E-DT,6.5,14.0,1.0,3.0,7.0,7.0,20.0,6.5
CD24,0.5,0.5,0.0,1.0,2.0,2.0,0.0,2.0
UXT-AS1,516.5,180.5,110.0,193.0,492.0,314.0,251.5,480.0
LINC01816,4.5,3.0,5.5,1.0,5.0,2.0,1.5,4.0
MAP3K14-AS1,50.0,26.5,3.0,11.0,60.0,25.0,35.0,53.5
UBOX5-AS1,77.5,9.5,16.5,17.0,90.0,43.0,20.0,75.5
KDM7A-DT,37.5,25.5,2.0,1.0,57.0,14.0,26.5,51.5
100134368,20.0,9.5,4.5,14.0,23.0,12.0,11.0,20.0
NDUFB2-AS1,334.0,96.0,89.0,154.0,340.0,208.0,127.5,288.5
TEN1,265.0,124.0,88.5,147.0,292.0,109.0,156.5,287.5
UPK3BL1,482.5,239.5,131.0,245.0,553.0,289.0,296.5,484.5
JMJD7,137.5,53.0,25.0,40.0,149.0,98.0,58.0,142.0
PLA2G4B,26.5,13.5,7.0,16.0,27.0,26.0,17.5,28.5
CHKB-DT,190.5,35.5,19.0,70.0,191.0,105.0,58.0,187.5
KLLN,164.0,88.5,37.5,87.0,212.0,132.0,134.5,245.0
RNU7-1,128.5,39.0,10.0,15.0,140.0,66.0,37.0,97.0
RNU4ATAC,13.0,12.5,36.5,5.0,16.0,7.0,5.0,11.5
RNU6ATAC,18.0,25.0,333.5,15.0,18.0,11.0,11.0,14.0
SCARNA9L,89.0,24.0,24.5,16.0,110.0,59.0,28.0,98.0
RNA5S1,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S2,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S3,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S4,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S5,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S6,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S7,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S8,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S9,8.0,44.0,135.0,10.0,10.0,2.0,29.5,7.5
RNA5S10,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S11,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S12,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S13,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S14,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S15,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S16,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
RNA5S17,0.5,0.5,6.5,0.0,1.0,0.0,0.0,0.5
DBIL5P2,1.5,1.0,1.0,1.0,5.0,3.0,1.5,3.0
SRRM5,275.0,121.0,59.5,126.0,290.0,199.0,172.5,276.5
ERICH4,7.0,20.5,5.0,20.0,6.0,13.0,21.0,8.0
EPOP,7.0,2.5,2.0,6.0,6.0,3.0,4.0,3.5
MIR1225,32.0,26.0,3.0,9.0,32.0,15.0,21.0,32.0
TOMM6,5286.5,1666.5,1848.5,3677.0,5259.0,4219.0,2665.5,5104.5
LINC00426,0.0,3.0,0.0,1.0,0.0,1.0,2.5,0.0
LINC00092,0.0,4.0,1.5,0.0,0.0,1.0,1.0,0.0
DCTN1-AS1,3.0,2.5,1.0,1.0,4.0,3.0,2.5,4.0
RAMP2-AS1,1.0,3.5,0.0,1.0,1.0,1.0,3.0,0.5
100190986,6.5,8.5,8.0,3.0,7.0,5.0,8.0,8.0
KMT2E-AS1,228.5,110.5,81.5,68.0,279.0,203.0,68.0,244.0
LINC01004,146.0,75.0,45.5,32.0,198.0,94.0,99.0,208.5
100233156,106.5,40.5,11.0,33.0,149.0,78.0,65.0,135.5
PCED1B-AS1,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0
100240735,1.0,0.0,0.0,0.0,2.0,2.0,2.5,1.0
100268168,13.0,2.5,3.0,6.0,13.0,8.0,4.5,12.5
CASC11,5.0,2.5,0.5,3.0,8.0,2.0,2.5,7.0
100270746,18.0,8.0,0.5,5.0,20.0,16.0,11.5,23.0
LINC00899,9.5,16.0,5.5,14.0,10.0,6.0,21.0,16.0
SMG1P3,75.5,24.5,21.0,9.0,97.0,85.0,41.0,96.0
MEF2B,42.5,35.0,7.0,13.0,53.0,12.0,39.0,52.5
AIRN,2.0,2.0,1.0,0.0,3.0,0.0,1.0,3.0
ZNRF2P2,24.5,7.5,0.0,3.0,27.0,19.0,9.0,23.0
CMC4,118.5,38.0,12.0,37.0,129.0,97.0,54.0,127.0
100272217,64.0,9.0,3.5,15.0,87.0,37.0,19.5,84.0
LINC00894,16.5,6.0,2.0,5.0,27.0,13.0,11.5,25.0
BCDIN3D-AS1,231.0,46.0,17.0,69.0,291.0,150.0,91.0,252.0
VPS13A-AS1,3.0,1.0,1.0,0.0,4.0,2.0,0.0,4.5
ANAPC1P1,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0
100287015,487.5,153.0,28.5,180.0,588.0,271.0,212.5,563.0
