,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
PPFIA4,1.75,4.75,2.25,0.0,9.25,2.0
RANBP3,43.25,19.5,47.0,3.3333333333333335,10.5,14.75
PPFIA1,18.25,9.0,18.5,3.0,6.5,2.5
SLC43A1,24.25,12.75,30.75,2.0,6.0,9.0
PKP4,9.5,6.0,10.5,0.3333333333333333,4.0,2.0
PIK3R3,8.5,2.75,11.0,0.0,2.75,1.0
PEX3,4.5,1.0,2.0,0.0,0.25,0.5
PARG,16.0,7.0,17.25,1.0,4.5,2.25
CNTNAP1,0.0,0.0,0.0,0.0,0.0,0.0
ENC1,40.5,13.5,57.5,0.6666666666666666,13.5,9.25
NIPSNAP1,6.25,10.0,14.75,0.0,2.25,4.0
NDST2,2.75,1.25,2.75,0.6666666666666666,2.0,0.75
