Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
3.2419	5.86436	7.14029	7.74902920111758	8.99496	40.88648	65141	-log10(pvalue)	MV411_1_137_R1
232	276	366	453.337206981778	533	3714	65141	length	MV411_1_137_R1
1.55873	4.67391	6.23624	9.47693297619048	9.9393575	99.05007	66780	fold	MV411_1_582_R1
1.31359	5.70837	10.15222	25.8303972309075	23.5825	457.10797	66780	-log10(qvalue)	MV411_1_582_R1
3.44992	8.23358	12.87185	28.6918474785864	26.62851	466.59903	66780	-log10(pvalue)	MV411_1_582_R1
141	187	250	288.947648996706	346	3749	66780	length	MV411_1_582_R1
1.63341	4.04223	5.66885	10.4981888580904	12.2608175	70.96593	63928	fold	MV411-DMSO-8h_2_734_R1
1.30199	4.71202	9.85502	37.5054626376549	39.4189625	348.57031	63928	-log10(qvalue)	MV411-DMSO-8h_2_734_R1
3.01501	6.60524	11.88344	39.7627540498686	41.810985	357.45932	63928	-log10(pvalue)	MV411-DMSO-8h_2_734_R1
163	270	502	927.099283569015	1202	41881	63928	length	MV411-DMSO-8h_2_734_R1
1.80206	3.72832	4.45783	5.88456842883231	5.95657	56.77173	110612	fold	MOLM13_1_48_R1
1.30466	3.65775	5.40014	12.5778258151918	10.2945	253.8047	110612	-log10(qvalue)	MOLM13_1_48_R1
2.97128	5.5821	7.43962	14.7574432489242	12.54053	263.29572	110612	-log10(pvalue)	MOLM13_1_48_R1
135	178	280	559.935838787835	576	35764	110612	length	MOLM13_1_48_R1
1.92827	4.87604	7.50597	11.80827359061	14.56438	64.50719	167498	fold	MV411-PU1-NT-SC-1_1_761_R1
1.31134	8.769825	20.16509	50.7864745465617	60.01279	370.52466	167498	-log10(qvalue)	MV411-PU1-NT-SC-1_1_761_R1
2.85376	10.638655	22.24598	53.0491235027881	62.47241	380.01572	167498	-log10(pvalue)	MV411-PU1-NT-SC-1_1_761_R1
227	316	411	483.859777430178	567	6219	167498	length	MV411-PU1-NT-SC-1_1_761_R1
1.72983	5.22498	7.4478	11.2931613576264	13.40642	127.88762	78733	fold	MV411_1_639_R1
1.33934	6.21108	11.958	27.5035228340086	31.29313	506.97305	78733	-log10(qvalue)	MV411_1_639_R1
3.21619	8.37585	14.30851	30.0468465652268	34.02552	516.46411	78733	-log10(pvalue)	MV411_1_639_R1
163	234	341	496.319268921545	571	6822	78733	length	MV411_1_639_R1
1.25335	4.44545	5.19673	5.58918363744782	6.1020075	86.14208	3354	fold	MV411_1_771_R1
1.31811	4.00046	5.68968	7.84275071556351	8.4891075	403.80658	3354	-log10(qvalue)	MV411_1_771_R1
4.4963	7.94258	9.89791	12.1146597942755	13.0187575	413.29764	3354	-log10(pvalue)	MV411_1_771_R1
174	196	237	261.034585569469	297	2893	3354	length	MV411_1_771_R1
1.8767	5.02744	6.43724	8.69556552010211	9.44456	116.6171	15670	fold	MV411_2_116_R1
1.31212	5.60714	9.336215	19.5736521384812	19.3191875	543.54865	15670	-log10(qvalue)	MV411_2_116_R1
4.00555	8.74706	12.669595	23.0436876190172	22.9701625	553.03967	15670	-log10(pvalue)	MV411_2_116_R1
171	214	276	312.260561582642	369	1585	15670	length	MV411_2_116_R1
1.91217	3.66494	4.32205	4.76695627698574	5.33396	30.63866	17185	fold	MV411-IRF2BP2-CT-GFP-8_1_762_R1
1.35517	3.98286	6.06604	8.35246280826302	9.75619	142.30325	17185	-log10(qvalue)	MV411-IRF2BP2-CT-GFP-8_1_762_R1
3.86263	6.89751	9.22533	11.6355402688391	13.27997	151.10487	17185	-log10(pvalue)	MV411-IRF2BP2-CT-GFP-8_1_762_R1
235	309	413	498.502647657841	586	5122	17185	length	MV411-IRF2BP2-CT-GFP-8_1_762_R1
1.51282	5.90929	7.85474	10.3187401652788	12.02964	173.88493	31704	fold	MV411-DMSO-8h_1_728_R1
1.33819	5.47252	9.32222	16.0864424372319	18.50064	607.31366	31704	-log10(qvalue)	MV411-DMSO-8h_1_728_R1
3.87908	8.45583	12.52176	19.4209921795357	22.04703	615.01935	31704	-log10(pvalue)	MV411-DMSO-8h_1_728_R1
126	155	201	219.088726974514	257	1891	31704	length	MV411-DMSO-8h_1_728_R1
1.40647	4.42368	5.50234	6.91163205569487	7.54656	96.61547	37885	fold	MV411_1_587_R1
1.30801	4.59218	7.24119	13.0170827000132	13.38718	442.50171	37885	-log10(qvalue)	MV411_1_587_R1
3.66734	7.40704	10.25568	16.1491018012406	16.72053	451.99277	37885	-log10(pvalue)	MV411_1_587_R1
138	174	235	287.276204302494	337	5926	37885	length	MV411_1_587_R1
1.50221	5.64075	7.60349	13.0315462259094	13.29208	147.74672	45142	fold	MV411_1_583_R1
1.31203	5.48717	9.93851	28.2648095004652	24.4195825	518.79547	45142	-log10(qvalue)	MV411_1_583_R1
3.63035	8.17965	12.81686	31.2954991283062	27.6265575	528.2865	45142	-log10(pvalue)	MV411_1_583_R1
126	164	225	282.976164104382	335	4288	45142	length	MV411_1_583_R1
1.28531	5.00779	6.46144	8.88601882623798	9.70228	89.22501	12379	fold	MV411_1_640_R1
1.30937	6.17715	10.55696	22.5339501066322	22.31185	412.71429	12379	-log10(qvalue)	MV411_1_640_R1
4.16139	9.46254	14.03749	26.1496280030697	26.11582	422.20535	12379	-log10(pvalue)	MV411_1_640_R1
152	193	246	275.804830761774	325	1660	12379	length	MV411_1_640_R1
1.78026	4.08161	5.08181	6.0509137174903	6.95614	67.49055	32721	fold	MV411_2_768_R1
