,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
ZFP3,93,127,158,60,108,199,162,155
SPNS2,1587,3255,3831,1691,2016,3989,3486,3845
EFCAB13,17,41,19,15,22,25,34,42
MRPL10,789,1304,1517,699,864,1607,1298,1337
WDR81,36,68,99,54,45,92,91,81
RN7SK,176,42,166,27,104,37,86,45
TBC1D16,890,1839,2101,772,1091,2239,1784,1748
AFMID,375,489,596,294,363,577,478,538
GJD3,8,11,12,1,5,8,10,13
SNHG29,21625,37770,43232,20193,28169,47753,35739,37218
ZSWIM7,212,219,289,172,209,306,262,318
MIEF2,38,95,142,60,71,131,80,96
SLC5A10,1,3,7,1,1,1,1,2
FAM210A,510,715,728,370,636,979,718,708
INO80C,97,144,165,66,114,150,126,159
TTC39C,397,487,564,297,410,612,483,529
DIPK1C,18,15,17,8,13,21,20,23
CLDND2,5,5,6,5,4,1,3,5
ZNF816,76,73,109,49,91,144,91,94
ZNF543,73,89,109,25,82,168,108,80
RAVER1,2473,4256,4878,2238,2613,5493,4621,4872
COX6B2,2,3,5,3,3,3,1,7
MICOS13,288,517,567,296,407,641,532,599
TRAPPC5,327,461,465,267,337,601,452,590
PCP2,6,1,1,1,2,3,4,4
ZNF440,80,120,108,50,79,136,106,112
SWSAP1,42,68,93,35,57,96,87,82
CCDC159,4,10,7,4,8,14,9,12
JOSD2,64,117,112,68,89,132,109,148
ALDH16A1,194,371,413,234,248,425,375,406
ZNF787,1066,2357,2667,1224,1315,3105,2418,2520
ZNF573,2,11,6,7,12,6,10,7
WDR88,3,18,16,5,12,19,20,16
EID2B,86,98,107,50,92,143,87,108
TNFAIP8L1,722,1181,1463,780,838,1583,1259,1323
ZNF57,7,14,19,4,12,20,18,14
IRGQ,1135,1338,1591,856,1341,1703,1524,1829
ZNF428,122,204,207,108,152,272,191,248
MOB3A,4634,8954,10168,4568,5267,11003,9287,8498
MFSD12,398,806,931,435,426,991,798,962
GIPC3,29,29,51,21,25,54,58,52
NDUFA11,2872,5291,5994,3019,3803,6307,4705,5567
LRRC25,76,152,167,68,82,192,150,141
WTIP,5,14,11,5,9,12,6,9
ZNF792,33,64,74,28,38,80,59,59
NR2C2AP,601,1100,1322,670,770,1273,1053,1145
HSPB6,4,11,19,1,10,8,18,18
RINL,356,515,667,308,415,627,508,562
C19orf47,363,785,892,353,416,979,769,772
ANKLE1,847,1550,1934,810,1082,2046,1601,1656
GABPB2,91,141,107,45,124,115,99,93
CCDC163,49,83,107,33,58,113,89,90
SHE,2,4,5,1,8,4,5,1
CCSAP,1778,2199,2508,1136,2049,3231,2168,2106
PUSL1,129,174,256,114,154,234,179,223
B3GALT6,1140,1822,2099,995,1181,2399,1914,1853
MAB21L3,4,11,11,2,8,11,13,7
IFFO2,109,218,247,87,134,264,244,188
ATXN7L2,2,2,7,4,2,11,3,6
LYPLAL1,44,48,57,29,55,79,68,56
TYW3,1348,1571,1911,1037,1618,2144,1610,1666
TPRG1L,775,1077,1380,715,882,1473,1085,1177
DMBX1,1,1,0,0,6,1,1,1
ZNF684,16,17,22,4,17,40,21,11
TCEANC2,419,596,664,304,500,839,657,575
LRRC39,147,141,154,69,158,169,117,153
RNF19B,300,251,306,264,331,301,255,391
C1orf122,90,135,160,101,117,175,148,175
C1orf216,422,602,731,356,487,775,666,634
ARL8A,212,464,472,244,243,577,467,473
SYT2,172,295,340,163,259,340,318,288
UHMK1,3942,4606,5025,1892,4276,6488,4578,4422
FCRLB,15,30,40,11,28,34,35,38
C1orf131,244,280,319,175,247,349,293,307
LIX1L,1025,1357,1626,800,1169,1855,1477,1429
EDARADD,13598,21448,25720,12707,16868,26959,20485,20952
IQGAP3,263,437,386,214,270,405,372,452
NAXE,192,271,344,181,249,371,280,346
