,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
CNTF,58,90,78,30,59,103,44,62
COL4A2,13,14,30,8,25,26,18,28
COL4A4,2,7,8,8,4,7,11,6
COL6A1,2,9,16,10,7,7,14,16
COL7A1,8,17,9,6,8,8,6,14
COL8A2,26,54,68,27,29,48,51,46
COL9A2,226,353,415,219,262,430,388,424
COL9A3,52,98,103,51,90,109,81,101
COL11A1,4,2,4,2,2,3,5,5
COL15A1,22,21,16,11,10,26,26,15
COMT,1132,1653,1984,1070,1363,2119,1639,1852
COPA,1573,2126,2507,1319,1835,2796,2284,2472
COPB1,218,278,295,138,214,376,244,272
KLF6,510,474,513,350,512,656,505,790
SLC31A1,1100,1455,1706,836,1324,1904,1518,1617
SLC31A2,135,190,241,109,153,249,205,236
CORT,10,7,11,5,13,8,16,16
MAP3K8,16,17,8,8,9,19,8,14
COX4I1,2735,3904,4829,2735,3402,4884,4199,4815
COX5B,321,470,514,250,372,628,423,505
COX6A1,354,510,591,328,514,718,557,603
COX6B1,1389,2105,2458,1397,1649,2550,2330,2567
COX6C,857,1093,1180,655,1046,1539,1163,1308
COX7A2,2673,4608,5893,2686,3647,6035,4533,4383
COX7B,797,1088,1365,693,1034,1442,1239,1295
COX7C,977,1297,1417,789,1064,1567,1369,1458
COX8A,2137,3381,4025,2041,2638,3983,3377,4103
COX10,373,655,714,358,425,843,640,618
COX11,901,1016,1037,571,1035,1371,946,1043
COX15,1581,1943,2291,1148,1789,2474,2024,2165
CP,349,299,398,236,433,506,337,392
CPB2,2,1,2,1,2,5,3,3
CPD,3056,3314,4016,2070,3591,4809,3367,3610
CLDN7,24,42,36,18,28,43,52,51
CPM,1342,1810,1952,1054,1461,2242,1917,1815
CPOX,456,583,610,343,526,790,514,600
CPS1,34,28,28,26,38,39,47,31
CPT1A,5626,6956,8331,4350,6014,10016,8470,7467
CPT1B,21,25,35,14,30,21,17,31
CPT2,452,597,688,367,488,739,598,708
CRABP2,1,8,1,0,3,2,4,4
CRAT,94,170,222,104,142,216,216,225
CREB1,1422,1591,1650,812,1488,2157,1625,1561
ATF2,1581,2046,2324,954,2049,2786,2026,1939
CREBBP,240,355,425,244,288,528,391,349
CREBL2,596,671,813,437,671,979,717,722
CREM,137,113,139,87,159,183,116,149
CRIP1,130,181,206,146,186,255,213,272
CRIP2,2,2,9,5,2,3,3,4
CRK,33,44,98,27,36,120,40,48
CRKL,2334,3341,3774,1766,2727,4077,3273,3318
CRMP1,7,6,9,2,5,8,9,5
CRY1,72,63,68,37,68,100,63,67
CRY2,171,315,358,167,213,341,300,332
CRYBB1,2,4,2,7,3,4,2,2
CRYZ,103,123,148,73,172,200,112,112
CS,6537,9238,11045,5802,7614,11744,10043,10222
MAPK14,1431,1998,2321,1125,1704,2439,2105,2132
CSE1L,620,759,917,519,758,1048,739,944
CSF1,16,11,8,17,15,13,13,24
CSF1R,1732,2603,2894,1375,1936,3213,2484,3012
CSF2RA,222,367,513,233,302,484,372,458
CSF2RB,431,606,687,347,512,857,674,655
CSF3R,103,162,180,112,114,161,183,191
CSK,1570,2819,3349,1692,1776,3685,3153,3249
CSNK1A1,2189,2174,2479,1388,2590,3246,2278,2520
CSNK1D,2336,4076,4893,2240,2847,5086,4351,4533
CSNK1E,967,1606,1755,995,1145,2083,1705,1874
CSNK1G2,1195,2480,2992,1242,1410,2960,2438,2787
CSNK1G3,406,413,388,219,393,611,370,423
CSNK2A1,2384,3102,3729,1752,2778,4228,3372,3180
CSNK2A2,162,240,317,137,191,341,283,271
CSPG4,868,1550,2028,982,1006,1916,1629,1766
CSRP1,2026,3399,3992,2037,2515,4153,3386,3807
SLC25A10,564,1177,1333,609,721,1456,1077,1312
CST3,1428,2493,2752,1428,1820,2875,2481,2727
CSTA,408,443,594,332,467,604,499,537
CSTB,364,595,698,395,481,771,638,655
CSTF1,169,220,260,128,219,302,249,272
CSTF2,139,143,190,106,132,214,163,167
CSTF3,546,621,776,401,613,806,658,677
CTBS,434,386,346,227,428,629,401,378
CTBP1,1810,2767,3088,1562,2075,3465,2908,3184
CTBP2,956,1089,1283,744,1091,1600,1190,1125
CTF1,7,10,8,13,2,9,9,14
CCN2,4,4,8,6,5,11,7,5
CTH,17,21,23,8,15,21,17,37
CTNNA1,1415,1746,2304,1277,1664,2295,1942,1934
CTNS,516,835,855,470,554,998,820,913
CTNNB1,1726,2105,2369,1353,2072,3099,2205,2464
CTNND1,177,282,324,159,208,367,305,319
CTPS1,935,1373,1562,878,1127,1654,1410,1570
CTRL,27,32,49,15,33,48,30,50
CTSB,2517,3557,4158,2356,3016,4600,3779,3906
CTSD,2019,3747,4474,2206,2383,4701,3773,4335
CTSG,474,606,704,415,532,782,630,709
CTSH,43,96,112,54,80,105,92,106
CTSK,9,16,15,13,15,23,15,27
CTSV,2,3,4,4,1,9,6,2
CTSO,5,3,5,2,4,12,7,4
CTSS,1374,1602,2040,1014,1795,2259,1611,1716
CTSW,22,21,18,15,33,29,30,27
CTSZ,2183,3261,3892,2167,2556,4305,3374,3579
CUX1,1050,1888,2104,828,1179,2422,1987,1785
CX3CR1,103,173,213,77,117,254,192,148
CYB5A,116,182,209,135,177,248,165,215
CYB561,240,448,518,257,314,515,428,515
CYBA,645,944,940,571,829,1063,870,1158
CYBB,138,189,240,119,168,282,228,188
CYC1,899,1492,1676,960,1019,1606,1512,1669
CYLD,654,816,887,450,722,1081,830,755
CYP1A1,5,2,4,4,1,9,5,6
CYP1B1,96,122,103,57,95,188,108,117
CYP2B7P,7,18,30,10,11,19,14,11
CYP2E1,3,7,9,5,5,6,7,12
CYP3A5,8,8,14,6,8,6,10,18
CYP27B1,14,28,22,7,16,5,20,32
CYP51A1,1931,1848,2239,1352,2156,2743,2150,2380
DAD1,1110,1360,1604,831,1299,1867,1454,1757
CD55,136,88,127,88,155,131,83,172
DAG1,528,1047,1229,492,647,1417,1131,943
DGKA,16,28,44,20,25,39,45,25
DGKG,176,274,360,133,202,386,292,283
DGKQ,207,379,525,225,265,478,365,507
DAP,3514,5304,6305,3024,4217,6456,5495,5666
DAPK3,97,202,182,119,115,231,166,181
DARS1,1401,1554,1614,1010,1478,2313,1630,1745
DAXX,17,13,6,10,18,19,13,23
DBH,0,6,13,0,8,9,6,8
DBI,2380,3119,3815,2139,2850,4131,3438,3667
DBN1,389,667,756,402,404,802,720,738
DBP,22,54,58,46,39,73,41,56
DBT,586,700,815,403,623,952,750,701
ECI1,79,112,130,76,111,158,123,141
DCK,1461,1430,1505,914,1652,2076,1363,1420
DCTD,1678,2472,2835,1573,2108,3277,2564,2816
DCTN1,3063,5836,6335,2783,3705,6991,5556,5228
DDB1,1519,2658,3205,1737,1934,3254,2869,2979
DDB2,387,623,790,369,469,753,651,692
AKR1C2,10,15,15,3,13,16,17,9
GADD45A,74,131,150,48,78,197,118,104
DDIT3,171,197,275,150,186,311,264,283
DDOST,3167,5217,6035,3116,3753,6793,5766,5869
DDT,3,4,4,0,1,5,6,4
DDX1,159,165,206,99,141,309,171,200
DDX3X,8719,8049,9431,5559,9966,11504,8557,9520
DDX5,1710,1727,2036,1159,1722,2535,1939,2147
DDX6,6296,8050,9715,4497,7097,10603,8687,8179
DMXL1,171,141,163,99,180,218,163,162
DHX8,312,427,557,256,301,557,520,498
DHX9,952,1165,1354,758,1002,1748,1266,1383
DDX10,232,294,395,220,289,457,392,398
DDX11,248,422,542,219,306,480,435,516
DHX15,856,966,1018,610,981,1296,1008,1135
DECR1,133,174,217,156,201,264,216,258
DEFB1,5,4,10,4,3,8,5,9
CFD,5,7,17,8,8,7,9,14
DFFA,427,715,853,412,514,882,724,736
DFFB,254,405,489,244,332,501,422,447
TIMM8A,321,393,488,221,393,562,456,434
GSDME,7,10,11,8,10,10,9,16
COCH,7,2,13,6,19,18,12,10
DGUOK,246,342,420,238,290,412,399,446
DHCR7,356,644,714,354,435,735,596,669
DHCR24,4858,8223,9655,4536,5736,10142,8358,8549
DHFR,2655,3165,3881,1952,3168,4208,3115,3372
DHODH,242,334,376,193,251,422,330,376
DHPS,1894,3194,3818,1788,2471,3707,2969,3332
CYB5R3,1376,2511,2995,1411,1524,3292,2680,3026
NQO1,209,269,284,175,275,339,290,303
DIAPH1,5643,9183,10650,5368,6590,11382,9787,9674
DIAPH2,147,170,188,75,153,262,177,152
SEPTIN1,15,22,37,23,22,40,38,39
DIO1,4,13,13,5,8,8,8,6
DKC1,3247,4517,5381,2942,3846,6288,4949,5354
DLAT,1538,1451,1692,999,1601,2309,1599,1532
DLD,1295,1296,1518,810,1537,2166,1446,1521
DLG1,713,763,849,529,798,1036,726,773
DLG3,1,0,2,1,8,5,3,3
DLG4,493,915,1197,452,617,1176,960,1065
DLST,1462,2440,2903,1497,1887,2860,2441,2745
DLSTP1,753,1270,1421,524,950,1374,1085,1130
DLX1,573,890,1082,503,652,1225,956,1003
DLX2,29,37,33,24,34,49,40,60
DLX4,70,99,105,62,99,121,115,93
SARDH,44,47,63,46,36,80,48,70
DNM1,207,376,495,230,286,416,398,528
DMPK,36,81,67,45,39,70,73,86
DMRT1,3,0,2,1,0,2,3,6
DMWD,145,237,282,145,139,282,241,259
DNA2,898,1132,1286,552,1091,1468,1032,1076
DNASE1,73,97,119,63,82,111,112,128
DNASE1L1,224,339,408,199,294,433,360,324
DNASE1L2,3,7,6,0,9,6,4,10
DNASE2,16,24,27,19,9,29,32,29
DYNC1H1,251,367,465,307,338,558,532,540
DYNC1I2,230,270,304,179,292,409,241,291
DYNC1LI2,1534,2001,2196,1092,1813,2290,2000,2089
DNM2,1041,2107,2348,1107,1226,2448,2078,2131
DNMT1,586,834,1078,622,740,1118,940,1055
TRDMT1,268,365,346,191,323,403,303,321
DNMT3A,540,817,945,474,603,1067,883,860
DNMT3B,159,190,227,121,149,273,211,213
DOCK1,0,0,2,1,4,6,0,1
DOCK2,1030,1190,1552,886,1098,1637,1444,1448
DOCK3,8,7,8,7,13,11,9,13
DOK1,493,1068,1320,599,671,1314,1023,1129
DPAGT1,304,560,623,322,372,679,630,632
DPH1,1161,1848,2286,1113,1378,2368,1836,2068
DPH2,711,1115,1312,665,900,1230,1061,1226
DPP4,28,51,42,30,37,67,55,43
DPYD,347,359,407,262,434,513,373,383
DPYSL2,5202,6610,7522,4872,5664,8867,7342,7822
DPYSL3,67,114,98,43,60,121,81,86
DR1,2083,2365,2295,1250,2496,3381,2248,2050
DRG2,320,625,722,426,430,759,602,712
ARID3A,597,1106,1137,469,677,1465,1212,1103
DRP2,6,14,12,6,5,7,9,15
ATN1,207,320,361,210,221,451,386,403
DSC2,18,20,22,9,27,21,27,14
RCAN1,1093,1316,1508,913,1332,1654,1289,1432
TSC22D3,1154,811,941,1015,1372,1011,893,1681
SLC26A2,1012,1388,1469,657,1290,1811,1310,1274
DTNA,398,450,571,281,456,539,497,572
HBEGF,877,306,324,706,962,410,344,1467
DTYMK,1829,3224,3814,1812,2248,3802,2919,3208
ECM2,5,3,3,3,3,0,2,1
DUSP1,16,6,10,9,20,13,14,20
DUSP2,126,224,248,130,169,252,180,271
DUSP3,4145,6247,7628,3328,4816,7895,6255,6287
DUSP4,20,37,17,16,17,38,34,27
DUSP5,46,66,86,46,59,90,96,70
DUSP6,254,502,566,170,268,829,511,361
DUSP7,1956,3044,3524,1640,2121,3931,3191,3481
DUT,2787,2959,3195,1982,3300,4161,2895,3334
DVL1,277,493,628,300,375,654,477,651
DVL2,194,335,340,159,212,321,290,297
DVL3,1269,1825,1970,971,1336,2111,1888,1889
DYRK1A,1607,2238,2468,1063,1791,3116,2243,2158
TOR1A,801,1127,1284,608,965,1389,1128,1196
E2F1,670,1366,1568,745,849,1606,1325,1462
E2F2,319,653,700,289,331,820,598,573
E2F3,805,1243,1387,570,960,1714,1333,1219
E2F4,878,1773,2089,956,1113,2069,1742,1818
E2F5,58,53,68,38,93,78,69,74
E2F6,259,390,447,202,307,570,404,385
E4F1,95,175,226,124,120,205,168,217
GPR183,186,119,110,111,199,183,104,208
ECE1,265,479,551,245,320,568,469,477
TYMP,8,17,10,5,16,26,18,27
ECH1,706,1026,1250,685,779,1314,1114,1181
ECHS1,877,1386,1697,911,1094,1690,1458,1621
ECM1,19,19,23,18,7,28,26,26
ECT2,378,400,410,205,396,639,354,359
LPAR1,77,76,96,32,77,120,84,109
S1PR3,319,439,485,200,387,641,471,404
PHC1,1702,1798,2157,1213,1917,2417,1747,1956
PHC2,857,1554,1843,922,1009,1993,1676,1615
EEF1A1,1198,1489,1770,952,1597,2029,1509,1596
EEF1A2,247,285,414,235,283,519,400,328
EEF1B2,665,816,859,488,712,1105,830,974
EEF1D,21,46,52,41,31,54,40,55
EEF1G,1355,1893,2195,1332,1477,2367,2022,2379
EEF2,22243,34891,40750,22209,25707,44863,35687,39775
EIF2D,48,60,69,48,56,67,79,88
EFNA3,23,50,75,23,37,77,75,50
EFNA4,11,31,23,16,10,20,26,18
EFNB1,77,161,183,70,99,213,157,174
CELSR3,30,47,94,48,60,67,61,96
CELSR2,49,73,91,57,62,103,101,88
MEGF6,40,64,81,32,46,48,68,82
MEGF8,1058,1653,2022,1026,1137,2058,1783,1783
MEGF9,317,498,521,217,375,591,487,386
EGR1,808,528,487,651,875,739,542,1455
EGR2,75,8,5,38,97,5,7,73
EGR3,3796,312,267,2693,4418,412,311,4966
EGR4,10,1,5,4,5,6,2,13
EHHADH,83,99,102,59,99,109,76,74
EIF1AX,3153,2978,3424,1871,3505,4429,3044,3364
EIF2S1,3032,3371,4174,2180,3547,4891,3783,3812
EIF2B1,1224,1424,1563,1037,1445,1797,1509,1563
EIF2S3,9676,11706,13439,7844,10977,15275,13000,13183
EIF4A1,3476,5786,7246,3972,4570,7093,6209,7107
EIF4A2,1613,1947,2140,1187,1796,2846,2135,2189
EIF4B,12541,16799,19607,10509,14061,21990,18412,18389
EIF4E,719,847,936,446,823,1327,956,932
EIF4EBP1,2219,3593,4134,2103,2501,4441,3658,4183
EIF4EBP2,8624,12537,14320,6518,10285,15724,12896,12082
EIF4G1,1084,1869,2160,1134,1256,2255,1971,2187
EIF4G2,7005,7126,8163,5061,7898,10403,7595,8877
EIF5,3790,4599,5823,2627,4337,7132,4959,4757
EIF5A,6037,10359,11941,6152,7037,13587,11013,12486
CELA1,1,4,5,3,4,3,2,3
ELANE,14,12,8,9,8,16,12,10
SERPINB1,3391,4459,5279,2910,4147,5834,4563,4739
ELAVL1,3533,4524,5442,2918,4021,6340,5033,5033
ELAVL3,2,1,4,2,3,2,10,14
ELF1,3139,3660,3848,1951,3463,5154,3806,3518
ELF2,258,329,369,168,286,480,384,335
ELF4,1388,2540,2908,1134,1534,3244,2650,2301
ELK1,820,1512,1699,711,956,1809,1488,1459
ELK3,245,259,350,178,288,366,325,256
ELK4,1434,1905,1917,875,1586,2344,1824,1654
EMD,176,268,268,159,206,311,262,299
MARK2,470,934,1017,500,570,1097,964,984
EMP1,163,97,116,104,187,119,125,170
EMP2,317,399,540,256,366,606,489,439
EMP3,156,194,242,128,200,304,204,266
CTTN,9,13,16,13,9,18,29,25
ENDOG,175,267,349,168,204,336,250,298
ENG,770,1290,1506,816,943,1488,1212,1605
ENO1,9756,15856,18533,10200,11988,19701,16067,18694
ENO2,62,94,128,69,81,112,105,100
ENO3,0,5,3,2,4,2,3,6
ENSA,3302,4748,5722,3178,4063,6281,4772,5336
SLC29A1,598,1102,1246,690,692,1375,1257,1326
EP300,687,767,868,392,705,1148,1005,951
EPAS1,27,40,42,24,44,55,24,39
EPB41,1953,2893,3538,1707,2235,3897,2991,2981
EPB41L1,7,4,7,2,3,3,8,10
EPB41L2,993,1185,1378,767,1135,1453,1255,1220
STOM,4162,5769,6490,2850,4849,7477,5581,5442
EPHA1,12,18,31,13,11,39,19,22
EPHB3,5,9,9,7,11,20,10,6
EPHB4,45,83,77,35,44,69,61,101
EPHB6,15,18,24,12,11,26,22,20
EPHX1,27,43,45,25,30,67,45,53
STX2,132,246,268,130,215,249,189,250
CLN8,5,14,14,1,6,19,10,20
EPOR,336,514,677,269,361,726,468,550
EPRS1,347,364,423,277,338,499,384,441
EPS8,56,61,52,52,58,80,58,58
EPS15,887,945,965,582,943,1153,900,926
NR2F6,234,447,587,230,300,594,488,518
ERBB2,10,19,24,9,12,18,13,21
ERCC1,2204,4192,4938,2196,2638,5252,4475,4515
ERCC2,60,155,197,84,106,190,159,181
ERCC3,82,164,156,85,98,176,186,159
ERCC4,156,183,195,86,120,257,211,171
ERCC5,37,64,79,44,42,86,78,83
ERCC6,105,129,114,64,110,201,137,153
ERF,720,1412,1608,699,843,1886,1537,1644
ERG,1,6,3,0,1,0,1,0
ERH,3938,6191,6555,3513,4717,8038,6267,7064
ERN1,27,79,87,14,38,80,66,64
ERV3-1,123,179,187,66,159,172,126,228
FBL,763,950,1070,653,896,1405,1105,1214
ESD,160,253,203,78,158,378,253,234
ESR2,2,0,3,2,4,7,2,5
ESRRA,476,904,1084,534,582,1114,912,1056
ETF1,5651,6264,7465,4403,6675,8770,6870,7287
ETFA,587,737,800,345,676,1102,803,794
ETFB,91,121,115,79,90,184,153,174
ETFDH,20,29,38,29,39,41,44,30
ETS1,91,116,168,84,122,206,150,130
ETS2,1690,2534,2779,1358,1971,3527,2696,2606
ETV1,24,20,20,11,11,37,24,19
ETV2,3,7,5,8,4,8,5,4
ETV3,25,34,36,16,17,38,32,31
ETV4,38,71,76,42,42,79,62,94
ETV5,524,767,787,393,618,927,833,731
ETV6,2675,3859,4608,2093,2977,4986,4363,4484
EVI2A,967,804,1064,659,1180,1307,925,1195
EVI2B,549,554,557,350,581,890,561,597
EWSR1,1225,1421,1580,983,1317,1780,1450,1647
EXT1,6,4,10,1,3,9,5,14
EXT2,426,541,677,368,465,672,572,633
EXTL2,550,678,855,344,717,1063,676,621
EXTL3,395,743,839,376,494,877,752,745
EYA3,1262,1906,2256,948,1455,2399,1963,1941
EZH1,129,242,287,124,170,253,256,299
EZH2,219,245,295,180,238,354,206,288
F2R,302,345,372,197,340,499,339,362
F3,144,165,166,89,147,218,133,209
F8,89,118,145,72,134,166,126,132
F12,6,8,6,7,11,11,6,11
F13A1,171,245,305,113,202,304,237,273
FAAH,11,9,12,14,13,15,6,26
FABP3,13,28,23,11,20,23,25,16
FABP5,7,4,6,3,6,7,9,6
FANCA,429,789,988,373,584,822,748,906
FANCC,324,569,655,346,466,753,550,587
FANCD2,177,287,351,174,242,348,341,382
FANCE,167,288,344,158,232,325,290,340
ACSL1,3223,3890,4660,2403,3735,5193,4112,4038
ACSL3,611,607,747,427,678,909,604,633
ACSL4,2806,2799,3144,1620,3078,4196,2814,2841
FAH,131,199,251,146,149,225,225,214
PTK2B,1659,3115,3542,1841,2036,3872,3246,3583
BPTF,409,374,436,266,412,524,439,435
FANCB,2,9,6,1,8,9,6,7
FANCF,103,134,190,78,107,237,163,132
FANCG,140,227,241,137,165,254,204,257
FAP,1,0,3,1,5,3,2,0
FARSA,594,841,1101,655,716,1127,950,1134
FASN,748,1384,1673,821,904,1730,1569,1697
FAT2,2,8,2,0,0,4,6,5
FAU,957,1158,1245,717,1195,1504,1301,1491
FBN1,6,9,11,11,16,17,4,9
FBP1,76,102,136,70,80,126,131,126
FCER1A,28,26,37,16,19,34,33,30
MS4A2,28,46,65,39,56,64,48,48
FCER1G,373,539,606,338,433,667,562,671
FCER2,175,330,428,198,239,451,394,482
FCGR1A,76,92,130,65,103,120,102,164
FCGR1B,50,50,63,36,44,75,58,71
FCGR2A,591,620,734,480,696,759,700,781
FCGR2B,1,2,10,1,2,3,2,4
FCGRT,142,183,241,136,142,255,193,255
FKTN,715,898,977,416,828,1114,899,887
FDFT1,1592,2022,2332,1328,1798,2717,2124,2346
FDPS,200,230,274,209,212,333,300,292
FDX1,330,325,337,198,352,441,296,299
FDXR,853,1680,1977,905,1120,1953,1569,1662
FECH,599,811,909,472,732,958,787,801
FEN1,2467,3311,4334,2370,2973,4485,3528,3908
GPC4,3,8,8,2,5,5,4,5
FER,371,415,549,214,406,583,419,388
FES,72,114,118,73,77,104,85,122
FGD1,44,65,80,34,53,102,84,69
FGF2,84,133,145,89,143,179,123,131
FGF11,18,42,48,22,31,48,48,46
FGFR1,121,234,278,119,150,308,250,259
FGFR3,13,24,20,6,15,26,18,19
FGFR4,1,1,4,0,0,0,1,5
FGR,147,255,299,159,153,314,250,300
FH,135,120,140,77,135,192,166,175
FHL1,415,494,533,308,458,661,491,540
FHL3,112,245,288,144,149,301,275,249
FKBP1A,6406,8770,10317,5569,7570,11806,10038,10032
FKBP1AP1,91,250,305,87,138,373,176,199
FKBP2,253,375,342,205,263,461,367,488
FKBP3,680,781,932,482,833,1188,857,974
FKBP4,2066,3627,4101,2198,2486,4532,3893,4100
FKBP5,3524,4382,4927,2666,4022,5759,4572,4565
FOXD4,3,5,4,2,2,8,4,11
FOXJ1,3,11,14,4,6,8,9,13
FOXM1,908,1488,1691,864,1035,1650,1469,1570
FOXD2,30,69,87,35,34,83,78,70
FOXO1,3,5,5,1,1,5,6,2
FOXO3,361,519,623,253,386,671,493,496
FOXO3B,112,183,188,59,131,228,175,201
FLI1,1893,2103,2578,1378,2220,2942,2206,2263
FLII,286,453,575,325,323,557,467,559
MLANA,10,11,18,5,13,15,10,11
FLNA,1064,2109,2447,1228,1265,2588,2323,2669
FLNB,674,867,1152,713,782,1220,1049,1163
FLOT2,513,1143,1253,580,636,1254,1031,1034
FLT1,1,6,2,0,1,1,2,2
FLT3,17776,23757,27836,13184,21506,30318,23720,22861
FLT3LG,10,22,30,18,18,18,29,31
FMO4,4,8,8,7,13,17,16,20
FMO5,56,76,106,48,69,106,85,70
FMOD,6,0,0,3,7,2,0,10
FMR1,541,607,620,298,564,863,588,602
FN1,13,10,9,10,7,12,6,11
FNTA,1245,1359,1757,968,1455,1826,1520,1625
FNTB,237,403,454,225,287,432,423,398
FOLR2,3,1,5,6,1,7,3,7
FOS,258,275,231,186,271,322,179,377
FOSB,699,507,582,599,711,618,583,1143
FOSL2,1506,1984,2063,1019,1848,2530,1934,2707
FPGS,378,730,812,428,519,944,770,905
FPR2,17,9,17,17,28,26,16,31
FXN,570,851,905,456,640,1102,831,910
MTOR,597,698,863,523,644,922,769,881
CENPI,118,158,187,88,140,231,159,146
FTH1,721,1056,1256,783,871,1270,1132,1274
FTH1P3,19,28,45,19,40,27,37,45
FTL,10084,14840,17057,10280,12123,18109,14838,18118
NR5A1,0,4,1,2,0,8,3,2
FUCA1,189,227,301,149,226,329,223,262
FUCA2,373,432,496,254,394,579,475,536
FUS,2392,3605,4043,2359,2634,4351,3743,4120
FUT2,4,11,12,5,5,10,12,20
FUT4,3928,6212,6600,2678,4611,8512,6189,5784
FUT6,1,1,5,4,1,5,3,3
FUT7,112,325,349,135,172,346,275,246
FUT8,208,250,296,155,208,334,265,240
KDSR,778,888,1014,523,871,1211,938,1038
FYB1,602,594,621,383,646,798,647,640
FYN,6,12,34,14,11,18,15,17
FZD2,87,153,196,72,139,207,166,156
IFI6,82,122,144,79,106,165,158,179
G6PD,548,885,982,530,607,1200,946,1050
SLC37A4,175,322,364,172,167,380,346,320
XRCC6,658,916,1151,668,813,1181,981,1174
GAA,159,260,359,165,187,316,283,290
GAB1,1,4,2,4,9,8,7,7
GABPA,1167,1076,1206,559,1181,1827,1116,1078
GABPB1,476,475,478,306,488,697,497,533
GABRA4,9,13,24,4,15,26,21,30
GABRB3,2,0,6,1,0,5,1,1
GABRD,6,19,6,6,6,15,8,9
GABRE,3,10,8,1,5,8,7,10
GABRR2,5,10,7,2,6,2,5,6
GAD1,11,8,19,6,20,16,13,24
GAK,220,342,432,238,253,445,401,487
GALC,442,455,525,309,495,650,442,433
GALE,85,116,143,85,95,163,132,160
GALK1,123,186,246,136,150,215,200,251
GALK2,102,130,181,75,139,172,122,150
GALNS,267,413,484,282,328,464,392,477
GALNT1,2239,2164,2431,1326,2469,3461,2224,2407
GALNT2,833,1281,1613,717,1014,1696,1336,1308
GALNT3,43,26,32,16,42,44,29,30
GALT,30,52,47,34,42,62,63,52
GAMT,459,836,963,549,603,1023,828,1029
GANC,398,463,564,314,394,621,470,517
GAPDH,14303,22659,26734,14232,15831,27187,23629,27406
GARS1,396,563,607,327,441,758,624,725
GART,362,453,498,328,432,654,451,519
GAS1,0,4,4,0,2,6,8,3
GAS6,196,358,453,229,282,430,384,471
GAS8,67,132,165,64,104,163,117,159
GATA2,60,113,112,68,82,146,117,108
GATM,173,215,158,78,174,244,168,197
GBAP1,5,10,11,2,3,15,6,14
NIPSNAP2,1363,1235,1448,891,1599,1770,1230,1331
GBE1,503,594,531,270,541,885,554,620
GBP2,44,19,31,19,47,24,32,38
GBP3,45,63,88,45,53,94,59,56
GCDH,253,369,453,247,333,465,416,483
GCH1,215,319,308,172,311,412,310,305
GCHFR,146,287,337,158,200,341,248,326
BLOC1S1,186,311,337,175,260,364,294,361
KAT2A,179,421,539,252,279,426,434,508
NR6A1,69,136,134,61,85,172,139,123
GCNT1,489,721,737,303,608,898,723,696
GCSH,17,23,26,7,24,43,22,31
GDI1,462,712,803,458,492,826,750,865
GDI2,7809,9018,10826,6412,8569,12754,9905,10039
GEM,4,0,1,2,3,0,1,7
GFER,218,456,528,262,329,531,424,492
GFI1,2045,4141,4858,1680,2400,5636,4158,3262
GFPT1,459,561,580,322,601,765,529,496
GGCX,2102,2411,3037,1718,2470,2887,2556,3091
GGT1,26,28,28,20,18,35,33,44
B4GALT1,927,1177,1233,744,978,1505,1220,1385
GGT7,29,43,65,28,23,42,42,49
GGT5,27,75,73,38,42,80,72,72
GIPR,87,249,265,85,126,147,184,251
GJA3,5,8,8,2,4,17,6,7
GK,578,549,622,298,668,783,521,552
GK3P,77,85,84,39,65,95,71,76
GLA,7,20,19,3,13,17,16,19
GPC3,26,19,17,16,24,30,33,22
GLB1,152,194,270,142,164,272,245,256
GCLC,133,136,152,78,156,218,150,152
GCLM,609,624,679,365,652,897,609,633
GLDC,3,5,0,0,4,4,6,2
GLE1,1695,2262,2633,1476,1974,2901,2635,2416
GLG1,3066,5123,5788,2507,3689,6274,5106,4526
GLI1,5,1,0,1,0,2,2,1
GLI3,2,3,3,4,3,9,3,5
GLI4,16,38,35,15,21,44,35,44
GLO1,4267,4840,5506,3111,5136,6809,4950,5312
GLS,1565,1656,1755,955,1841,2363,1573,1642
GLRX,366,469,547,283,438,622,473,494
GLUD1,4984,4999,6209,3548,5912,7419,5243,6026
GLUL,10241,13973,16585,8631,11968,18789,14701,14236
GM2A,2578,3802,4603,2230,3201,5063,3975,3914
GMDS,34,93,87,43,61,102,93,72
GMFB,2625,3035,3297,1479,3200,4635,2925,2940
GMPR,6,5,9,4,2,13,7,10
GNA11,1,2,3,0,1,4,0,5
GNA12,1145,1826,1993,1014,1303,2204,1705,1774
GNA15,552,1054,1244,574,641,1387,1010,1180
GNAI1,48,74,67,46,72,109,61,54
GNAI2,6838,11135,12684,6707,7735,14541,11771,12897
GNAI3,2282,2511,2859,1636,2608,3736,2629,2678
GNAL,229,341,355,215,292,373,304,368
GNAO1,0,1,2,0,1,7,1,2
GNAQ,4791,5387,6129,3103,5182,8109,5825,5605
GNAS,7412,10203,12322,6541,8686,13026,10607,10647
GNAZ,10,17,28,8,16,19,26,28
GNB1,9033,11358,13472,7382,10593,14678,12066,12447
GNB2,814,1727,1962,1008,1013,2001,1716,1977
GNB3,11,35,47,14,24,34,23,47
GNG3,11,37,39,8,22,33,33,39
GNG4,1,9,5,6,7,15,6,13
