task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
27	f0/7dfd11	3085118480972992756	COUNTS (mp916-MV411-E2F3_R1_T1)	COMPLETED	0	2020-11-13 19:05:04.965	4m 57s	17ms	112.5%	3.2 MB	5.4 MB	2.6 MB	305 B
28	d1/21b40b	2235881174908351139	COUNTS (mp917-MV411-SREBP1_R1_T1)	COMPLETED	0	2020-11-13 19:09:13.908	4m 28s	18ms	133.3%	3 MB	5.4 MB	2.6 MB	306 B
20	a9/8a0f92	8698990800268810260	BWA_MEM (mp920-MV411-STAT5B_R1_T1)	COMPLETED	0	2020-11-13 17:27:27.479	1h 56m 35s	1h 39m 40s	1191.1%	7.9 GB	9.6 GB	44.2 GB	41.9 GB
21	ef/663d0e	1616426819873381829	BWA_MEM (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1_T1)	COMPLETED	0	2020-11-13 17:27:28.284	2h 9m 44s	1h 52m 40s	1191.7%	7.9 GB	9.6 GB	50.8 GB	49 GB
23	e4/aacac0	6644890466346376602	BWA_MEM (mp918-MV411_GFI_SC-FLAG_GFI_R1_T1)	COMPLETED	0	2020-11-13 17:27:29.303	2h 10m 43s	1h 55m 42s	1191.9%	7.9 GB	9.5 GB	52.6 GB	50.9 GB
29	fa/d18897	17116308233660521346	SORT_BAM (mp920-MV411-STAT5B_R1_T1)	COMPLETED	0	2020-11-13 19:24:03.216	17m 39s	11m 52s	250.9%	5.2 GB	6.1 GB	30.6 GB	12.6 GB
32	eb/7c70a5	137403637801399327	COUNTS (mp920-MV411-STAT5B_R1_T1)	COMPLETED	0	2020-11-13 19:41:43.926	4m 29s	18ms	150.0%	3.1 MB	5.4 MB	2.8 MB	306 B
18	74/f9e6c8	17098222727952364962	BWA_MEM (mp845-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-13 17:27:28.787	2h 28m 4s	2h 14m 22s	1185.9%	12.5 GB	14.4 GB	47 GB	45.7 GB
31	84/86ca2d	4761257919351526562	SORT_BAM (mp918-MV411_GFI_SC-FLAG_GFI_R1_T1)	COMPLETED	0	2020-11-13 19:38:13.316	21m 9s	14m 20s	251.6%	5.1 GB	6.1 GB	37.3 GB	15 GB
30	ca/9cb0f6	12450566910097934834	SORT_BAM (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1_T1)	COMPLETED	0	2020-11-13 19:37:13.590	22m 49s	15m 56s	230.4%	5.1 GB	6.1 GB	35.7 GB	14.5 GB
34	6b/c654d8	3143761685412982957	COUNTS (mp918-MV411_GFI_SC-FLAG_GFI_R1_T1)	COMPLETED	0	2020-11-13 19:59:24.056	5m 8s	20ms	126.3%	3 MB	5.4 MB	2.9 MB	316 B
35	93/30f6b4	9786407027051361510	COUNTS (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1_T1)	COMPLETED	0	2020-11-13 20:00:03.775	5m 59s	19ms	126.3%	3.1 MB	5.4 MB	2.8 MB	326 B
33	8f/0704b2	7967456497511809846	SORT_BAM (mp845-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-13 19:55:33.471	22m 49s	15m 22s	247.9%	5.3 GB	6.6 GB	35.2 GB	14.1 GB
36	4e/0aecea	14854197037168923471	COUNTS (mp845-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-13 20:18:23.951	4m 49s	17ms	150.0%	3 MB	5.4 MB	2.9 MB	306 B
40	14/bf3d1b	10590510242035866412	MERGED_BAM (mp918-MV411_GFI_SC-FLAG_GFI_R1)	FAILED	14	2020-11-13 20:18:26.070	19m 46s	19m 39s	-	-	-	-	-
