ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#"
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57047323.919381,308.60230337175,226.42849413422,141,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57036545.297915,308.75810885102,226.68973336998,142,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57136492.515143,308.94625278683,226.87449837078,143,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57516683.890479,309.19125012777,226.71539064363,144,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57695021.082003,309.22138247283,227.17160326087,145,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57929211.130213,309.06371048225,227.89388352306,146,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57883157.020314,309.24273767606,228.13866129469,147,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57757733.06144,310.00527619435,228.44876492943,148,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57982124.362863,309.59541513866,228.66407821135,149,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58207495.538965,309.73251350942,228.43560931266,150,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58472061.702214,309.56733363498,228.77261910747,151,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58392691.853239,309.58380319506,228.87271781447,152,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58982576.409818,309.33627936339,228.81243977805,153,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59101141.245941,309.12481969659,228.17795739037,154,31.30295,31.30295,"Yellow",0,0
