mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,IL32
0,9,0,12,0,10,3,10,4,22,0,8,2,4,3,1,PKD1
35,15,2,33,9,35,45,91,19,47,19,21,20,32,5,8,MED24
28,134,30,85,16,46,43,57,147,129,97,128,28,22,8,47,RHOBTB2
6,4,1,1,16,6,7,7,10,3,2,4,0,3,4,10,HEATR5B
427,230,175,319,264,284,342,363,729,510,437,681,260,107,223,252,SEC62
92,64,202,246,113,170,158,103,197,173,40,154,50,48,48,86,RPS20
798,420,162,585,643,667,708,792,975,744,637,713,404,177,283,531,CSDE1
72,49,12,65,22,65,27,70,62,78,45,76,34,36,20,34,UBE3C
29,41,67,21,9,48,53,61,69,75,61,75,23,13,19,22,REV3L
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TENM1
0,0,0,0,2,1,5,0,1,0,0,0,0,1,0,0,MASP2
20,3,1,9,5,7,41,22,15,16,14,7,19,8,7,17,FAM76A
35,25,0,83,18,35,30,20,13,33,19,38,9,12,33,7,TRAF3IP3
8,6,0,0,0,5,0,10,0,6,1,3,4,4,0,2,POMT2
236,133,58,110,196,212,182,151,291,266,273,294,134,72,127,132,VTA1
0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,MLXIPL
77,71,24,42,60,81,57,76,123,162,49,119,53,22,52,57,BAZ1B
42,16,0,34,21,27,25,16,24,51,27,26,9,7,19,11,RANBP9
0,0,0,0,0,0,2,0,4,4,0,8,0,0,0,0,ETV7
116,70,22,68,71,73,58,71,156,89,66,120,54,34,56,67,SPRTN
9,13,24,4,11,9,13,10,23,12,13,18,3,6,2,7,EEF1AKNMT
9,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,DYRK4
725,385,265,215,410,574,609,597,731,691,621,677,424,220,361,283,ZNF207
20,50,6,68,26,64,27,69,44,67,72,86,36,58,51,24,UQCRC1
25,41,0,46,22,31,41,58,22,33,23,39,23,3,24,9,STARD3NL
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD9
122,135,7,160,57,163,78,204,155,187,99,162,57,78,59,72,NCAPD2
13,49,6,8,0,19,0,65,1,48,6,6,1,15,11,5,IFFO1
0,0,0,0,8,3,0,0,0,4,4,4,1,0,0,2,GIPR
2,2,0,0,0,3,0,7,0,0,9,0,0,0,0,3,PHF7
6,12,0,7,0,6,0,16,16,12,6,26,10,5,1,2,SEMA3G
36,29,0,26,22,83,7,92,36,73,40,48,38,32,18,20,NISCH
0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,STAB1
28,7,0,8,10,20,62,43,38,23,33,40,31,12,18,8,FUZ
102,80,73,79,64,110,95,92,97,147,81,144,73,74,58,84,IDS
406,249,188,230,175,245,237,269,361,493,290,448,193,62,93,69,ZNF200
19,43,2,47,13,63,46,72,27,37,31,70,26,76,31,23,CD4
1,10,0,0,0,4,0,6,8,0,7,7,0,0,0,1,LRRC23
22,26,5,33,21,35,35,27,44,34,4,26,17,20,23,12,BTK
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,HFE
35,26,0,40,12,58,11,82,37,75,40,62,10,51,16,12,SCMH1
0,3,1,0,12,9,0,0,0,1,0,0,0,0,0,15,FYN
18,6,0,0,0,6,0,3,30,6,15,0,3,3,3,0,HIVEP2
138,119,47,167,35,159,57,146,233,240,165,232,97,91,69,134,ELOA
10,12,4,0,12,28,15,21,11,22,6,18,1,13,10,0,LYPLA2
18,22,0,18,0,34,21,41,10,29,18,19,10,39,14,14,CLCN6
34,39,4,52,4,58,20,70,56,52,28,29,12,35,8,22,MRC2
49,60,106,196,35,90,39,89,89,120,43,77,70,80,66,75,NME1-NME2
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,TSPAN9
303,233,65,221,201,318,156,313,350,359,317,392,163,111,126,124,BTBD7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,APBA3
15,7,0,8,12,20,8,22,10,20,10,4,20,14,7,3,MKS1
9,5,0,12,0,3,8,7,11,26,9,7,0,2,4,6,ABHD5
31,27,38,77,17,53,11,66,69,110,50,89,15,43,39,61,AKAP8L
148,112,52,98,131,182,167,205,205,188,190,200,142,52,84,152,MBTD1
53,33,0,36,19,28,57,45,83,58,39,55,33,17,32,17,UTP18
34,32,25,40,17,44,25,55,42,66,33,70,23,29,21,40,RNF216
93,47,21,87,68,129,114,155,162,171,120,124,84,89,116,75,TTC19
753,750,230,703,649,1169,874,1342,914,1225,601,1191,499,735,404,723,PTBP1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DPF1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,SYT7
50,32,10,30,18,28,24,32,37,63,22,29,8,16,18,15,LARS2
82,31,96,13,54,52,47,63,109,74,68,98,42,18,46,65,PIK3C2A
233,266,141,372,107,359,191,336,344,544,161,414,173,250,140,194,PLAUR
146,72,56,81,45,105,72,89,138,118,109,182,35,19,48,63,ANLN
121,122,4,94,41,120,27,129,132,216,81,190,39,75,32,52,WIZ
38,23,25,24,15,30,1,46,36,41,12,41,26,12,15,13,RABGAP1
2,1,0,8,3,13,2,4,0,9,1,10,5,3,5,0,QPCTL
