,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
SNORD3B-1,14.0,7.0,6.0,20.5,10.5
RNVU1-18,110.0,146.0,128.0,158.5,128.0
RNVU1-7,7.0,13.0,16.0,19.0,13.5
RNU1-3,110.0,146.0,128.0,158.5,128.0
RNU1-2,110.0,146.0,128.0,158.5,128.0
RNU1-1,110.0,146.0,128.0,158.5,128.0
STEAP1,7.0,9.0,14.0,20.5,11.5
RANBP6,236.0,153.0,132.0,116.0,158.5
COPG2,424.0,530.0,276.0,547.0,535.5
HBP1,71.0,109.0,77.0,105.5,111.5
CHORDC1,87.0,120.0,107.0,143.5,124.0
SEC22A,61.0,74.0,60.0,70.5,87.0
AP3M1,100.0,141.0,66.0,219.5,145.5
PABPC1,14830.0,17878.0,9609.0,20063.5,18794.5
AKAP8L,352.0,427.0,341.0,361.0,392.0
RNF11,129.0,125.0,53.0,105.0,131.0
TRUB2,273.0,308.0,170.0,284.5,289.5
GPR160,61.0,81.0,56.0,76.0,95.5
CYFIP2,39.0,33.0,18.0,38.5,36.0
DNAJC2,263.0,342.0,149.0,365.5,323.0
USP21,54.0,66.0,39.0,79.0,68.0
TPK1,22.0,24.0,23.0,58.0,29.0
CNPPD1,271.0,466.0,323.0,381.5,406.0
NPTN,657.0,916.0,561.0,986.0,923.0
MLH3,44.0,46.0,68.0,48.5,43.0
NPHP3,38.0,47.0,30.0,51.5,47.5
ATP2C1,176.0,361.0,194.0,281.5,299.0
ACAD8,65.0,97.0,53.0,155.5,109.5
SIGLEC7,37.0,39.0,33.0,45.0,45.5
TRMT2A,294.0,494.0,330.0,353.5,414.5
UTP25,110.0,106.0,95.0,147.0,113.0
PELP1,113.0,145.0,138.0,114.0,158.0
SND1,1126.0,1574.0,1313.0,1398.0,1486.0
STAU2,1023.0,1222.0,903.0,1137.5,1143.0
PPA2,732.0,1284.0,664.0,1312.0,1265.0
GHITM,1256.0,1889.0,1233.0,1996.5,1742.5
DAPP1,104.0,68.0,78.0,97.5,74.0
VPS41,223.0,324.0,278.0,284.5,306.5
TSPAN13,6.0,1.0,0.0,6.0,1.0
LYPD3,3.0,2.0,0.0,2.0,5.0
B9D1,76.0,163.0,117.0,141.0,149.5
RPUSD2,526.0,587.0,546.0,440.5,594.0
MTBP,7.0,6.0,0.0,19.0,8.0
FOXP1,2190.0,2409.0,1668.0,2495.0,2502.5
UQCRQ,3886.0,5706.0,4663.0,5031.0,5113.0
ST6GALNAC4,301.0,329.0,384.0,315.0,326.5
KCNMB3,130.0,82.0,75.0,114.5,103.5
TRAPPC3,643.0,798.0,641.0,695.0,657.5
TAF5L,94.0,103.0,80.0,109.5,103.0
CACYBP,1858.0,3137.0,1713.0,3143.0,2890.0
EIF2AK1,658.0,1177.0,709.0,1088.0,1123.0
ARRDC2,222.0,282.0,267.0,229.5,269.0
ZBTB11,70.0,89.0,57.0,92.5,87.5
DMAC2L,270.0,180.0,157.0,168.5,197.5
SDCBP2,2.0,33.0,8.0,15.5,16.0
BBC3,978.0,774.0,910.0,682.5,775.0
DKK2,8.0,0.0,3.0,3.0,5.0
AFF4,72.0,101.0,52.0,140.0,100.5
CYTH4,389.0,366.0,341.0,327.0,356.0
INVS,200.0,248.0,201.0,235.0,235.5
SNX5,3156.0,3145.0,2468.0,3520.5,3462.0
CPNE7,68.0,143.0,153.0,130.5,106.0
CIDEB,91.0,123.0,88.0,134.5,128.5
STK36,162.0,255.0,185.0,260.0,236.5
ZNF777,326.0,348.0,260.0,302.0,365.5
BRPF3,48.0,47.0,40.0,83.5,49.0
NDOR1,242.0,312.0,300.0,278.5,288.5
INGX,0.0,3.0,0.0,0.0,3.0
AGO2,1149.0,1031.0,718.0,886.5,1092.0
NAAA,40.0,80.0,23.0,103.0,72.0
PRELID1,2391.0,3263.0,2246.0,2743.0,2878.5
SLC39A1,1388.0,1650.0,1195.0,1620.0,1624.5
TUBG2,6.0,30.0,12.0,20.0,11.5
VPS4A,855.0,1418.0,1083.0,1085.0,1184.5
DISC1,43.0,75.0,33.0,67.5,47.5
TUBGCP4,201.0,199.0,205.0,196.5,190.5
SERP1,1023.0,1187.0,805.0,1393.5,1172.0
GNMT,15.0,15.0,19.0,10.5,13.5
COQ2,796.0,1384.0,651.0,1371.0,1367.0
ARFIP1,100.0,99.0,59.0,153.0,117.0
GPKOW,271.0,246.0,242.0,294.0,283.0
TNFRSF21,34.0,45.0,43.0,63.5,42.5
CHMP2A,306.0,345.0,287.0,344.5,338.5
SESN1,62.0,110.0,62.0,144.0,111.0
AHDC1,76.0,121.0,47.0,142.5,123.5
RNF115,256.0,317.0,143.0,267.5,306.0
NFU1,393.0,626.0,473.0,556.0,516.0
ERLEC1,138.0,159.0,96.0,147.5,147.0
MMADHC,600.0,936.0,576.0,901.5,856.0
PDCD4,1282.0,1125.0,872.0,1323.5,1202.5
KLHL20,145.0,120.0,78.0,146.0,177.5
LSM1,898.0,1282.0,848.0,1413.0,1283.5
LSM3,743.0,1261.0,638.0,1250.5,1150.5
RND1,10.0,4.0,4.0,4.0,15.5
R3HCC1L,100.0,150.0,94.0,157.0,123.0
DIMT1,78.0,147.0,69.0,103.0,111.0
CRCP,391.0,396.0,264.0,337.0,338.0
APEX2,148.0,272.0,195.0,175.5,266.5
MOCS3,56.0,23.0,49.0,21.5,37.5
ZNF330,200.0,186.0,205.0,233.5,224.5
PGAP2,124.0,147.0,81.0,134.5,125.0
RBMX,5090.0,4960.0,4323.0,4266.0,4879.0
TNRC6A,453.0,590.0,383.0,544.0,602.5
ZNF638,436.0,735.0,397.0,852.5,749.0
GOLIM4,135.0,104.0,107.0,204.5,121.0
EIF3K,518.0,557.0,469.0,650.5,562.5
HTATSF1,130.0,208.0,82.0,250.0,215.0
UBE2S,4339.0,5920.0,4323.0,5344.0,6175.5
PRPF19,4877.0,4239.0,3203.0,4793.5,4615.5
UTP20,17.0,51.0,7.0,59.0,47.0
RRP7A,1031.0,1168.0,924.0,1001.0,1161.0
RABGEF1,92.0,116.0,169.0,145.5,138.0
POLL,356.0,364.0,351.0,331.5,350.5
TMEM97,225.0,228.0,227.0,315.5,258.0
STK39,108.0,140.0,97.0,160.0,139.5
TOR1B,155.0,163.0,110.0,155.5,162.5
MCAT,207.0,221.0,192.0,271.5,248.0
APOBEC3C,477.0,491.0,424.0,427.5,528.5
DESI1,503.0,825.0,529.0,794.5,746.0
SGSM3,287.0,347.0,276.0,358.0,347.0
HTRA2,138.0,255.0,146.0,282.5,245.5
MAT2B,233.0,314.0,162.0,444.5,344.0
TOR2A,118.0,175.0,128.0,148.0,152.5
POLM,44.0,63.0,36.0,66.0,63.0
EML4,392.0,707.0,339.0,678.0,701.5
TMEM121B,118.0,153.0,85.0,195.5,143.0
HDHD5,430.0,876.0,224.0,1210.5,851.5
PPP2R3B,91.0,111.0,117.0,124.5,102.5
SLCO4A1,668.0,1129.0,972.0,754.5,976.5
SLCO3A1,334.0,492.0,243.0,432.0,491.5
NKIRAS2,862.0,791.0,647.0,702.5,792.5
NKIRAS1,8.0,14.0,8.0,14.5,23.5
DLL1,3.0,4.0,6.0,2.0,4.5
TRIB2,2.0,5.0,0.0,1.0,2.0
CCDC22,282.0,380.0,330.0,359.0,373.0
DEXI,340.0,554.0,319.0,479.5,533.5
LAMTOR2,2513.0,2722.0,2029.0,2875.0,2772.0
MRPS28,68.0,75.0,67.0,194.5,118.0
COA3,548.0,574.0,618.0,573.5,572.0
DCPS,1045.0,1602.0,1088.0,1700.5,1662.5
OSTM1,356.0,437.0,233.0,386.5,404.0
GIT1,667.0,590.0,460.0,707.0,682.0
SNX24,55.0,56.0,43.0,77.0,65.5
BZW2,1086.0,1181.0,909.0,1204.5,1199.5
C11orf54,29.0,37.0,27.0,69.5,33.5
AAMDC,240.0,307.0,226.0,286.0,281.0
SPCS1,698.0,1134.0,697.0,1132.5,1040.0
MRPS18B,9493.0,10001.0,8253.0,8708.0,9656.5
C19orf53,977.0,1259.0,1058.0,1024.5,1093.0
ACAD9,790.0,1116.0,776.0,1114.0,1039.5
MRPL42,558.0,762.0,457.0,888.5,797.0
TMEM14A,248.0,388.0,216.0,412.0,365.0
IFT81,7.0,3.0,7.0,6.5,8.5
FLVCR1,96.0,103.0,68.0,126.0,104.0
RGCC,15.0,1.0,1.0,7.5,5.5
MCTS1,1665.0,1722.0,1532.0,1916.5,1728.5
MAGEH1,36.0,34.0,23.0,50.5,47.0
NOB1,470.0,442.0,388.0,437.5,458.5
DBNL,923.0,1325.0,1057.0,1158.5,1118.0
NTMT1,1864.0,1979.0,1792.0,1802.5,1968.5
ASTE1,36.0,27.0,41.0,33.5,30.5
COMMD5,628.0,729.0,614.0,713.5,752.5
HIPK2,239.0,336.0,160.0,359.5,367.5
MRPL13,2632.0,5016.0,1684.0,5337.0,4476.0
SLC43A3,1376.0,2146.0,1043.0,2440.5,2148.0
ATAD2,655.0,1298.0,751.0,1212.5,1218.0
C16orf72,134.0,85.0,74.0,85.0,90.0
FAM156A,82.0,165.0,115.0,171.5,150.5
TMEM230,440.0,899.0,315.0,941.0,840.0
WDR91,349.0,646.0,439.0,482.0,428.0
ZCCHC4,7.0,3.0,9.0,16.0,10.0
ASAP1-IT1,35.0,13.0,16.0,14.0,22.5
ZC3H7A,38.0,84.0,68.0,65.0,78.0
ZBTB44,1659.0,1990.0,1243.0,1953.0,1961.0
CCDC113,3.0,6.0,5.0,4.0,6.5
C1GALT1C1,126.0,171.0,90.0,248.5,190.5
SETD2,158.0,362.0,232.0,272.5,256.5
MRPL18,769.0,1007.0,599.0,1155.0,1050.0
NDUFAF4,304.0,216.0,345.0,254.5,247.0
MED4,1421.0,1436.0,1251.0,1582.0,1422.0
CCDC59,928.0,639.0,550.0,643.5,671.5
METTL5,241.0,428.0,228.0,459.5,425.5
CHMP4A,231.0,426.0,300.0,421.5,422.5
GTPBP8,323.0,296.0,244.0,311.0,334.5
PHPT1,504.0,710.0,563.0,543.5,611.0
BABAM1,1015.0,1885.0,1140.0,1766.0,1617.0
THYN1,1636.0,2077.0,1718.0,1985.5,2016.0
MRPL15,2458.0,2434.0,1826.0,2552.0,2391.5
UBE2T,345.0,685.0,315.0,590.0,599.5
TIMM21,124.0,183.0,87.0,209.5,161.0
LINC00339,13.0,12.0,9.0,16.0,15.5
MRPL22,456.0,655.0,483.0,669.0,677.0
ORMDL2,686.0,603.0,617.0,718.5,632.0
CNIH4,1034.0,1548.0,997.0,1436.0,1393.0
RANGRF,1159.0,1409.0,1162.0,1445.5,1426.5
COMMD9,647.0,770.0,676.0,689.5,726.0
TMEM208,1010.0,1101.0,929.0,1135.5,1115.5
SSU72,603.0,741.0,508.0,731.5,734.0
DROSHA,571.0,956.0,563.0,640.5,710.0
DNAJC15,190.0,183.0,89.0,213.0,198.5
N6AMT1,65.0,57.0,56.0,62.0,58.0
CFAP20,259.0,346.0,96.0,492.0,390.5
NXT1,580.0,575.0,470.0,585.5,608.5
PYCARD,912.0,1163.0,787.0,1207.5,1158.0
FHOD1,2169.0,2456.0,1983.0,2290.5,2422.0
TBK1,27.0,30.0,20.0,44.0,31.5
SAP30BP,336.0,501.0,366.0,345.5,435.5
MYLIP,673.0,355.0,507.0,225.5,457.5
BRD7,951.0,1768.0,940.0,1668.0,1558.0
CLEC2D,639.0,702.0,410.0,758.0,725.5
ANKRD11,380.0,407.0,310.0,357.5,397.0
RACGAP1,160.0,245.0,117.0,313.0,243.0
UHRF1,799.0,1104.0,635.0,1266.0,1055.5
USP25,50.0,38.0,50.0,43.5,39.0
PACSIN3,144.0,147.0,104.0,126.0,139.0
TMOD4,3.0,15.0,18.0,11.5,12.5
TMOD3,192.0,235.0,138.0,256.5,226.0
TMOD2,8.0,5.0,3.0,4.0,6.0
CARD10,20.0,23.0,23.0,25.5,24.0
ABT1,1769.0,2020.0,1277.0,2050.0,2161.5
PARVB,264.0,345.0,261.0,355.0,354.0
NCAPH2,1596.0,2054.0,1848.0,1756.0,1922.5
CYP2S1,13.0,17.0,18.0,20.5,15.0
OLA1,719.0,957.0,701.0,808.5,811.5
UQCR10,1284.0,1773.0,1382.0,1722.0,1733.5
YPEL1,40.0,38.0,45.0,39.5,33.5
ZDHHC8,104.0,441.0,103.0,476.0,319.0
REPIN1,185.0,243.0,185.0,293.5,244.5
SENP1,339.0,240.0,218.0,259.5,228.0
TFPT,53.0,51.0,36.0,35.5,49.0
UBN1,2265.0,2218.0,1837.0,2152.5,2419.0
ALG5,1639.0,1914.0,1541.0,1765.5,1864.0
CNOT7,2876.0,4166.0,2424.0,3935.5,4055.5
SNX8,102.0,155.0,138.0,123.5,139.5
SNX10,146.0,136.0,177.0,161.5,150.0
STRN4,77.0,188.0,96.0,100.5,116.5
GNL2,363.0,332.0,184.0,402.0,352.0
RBM15B,1343.0,1290.0,872.0,1266.0,1390.0
PSMC3IP,224.0,370.0,179.0,371.5,367.5
CPSF1,527.0,645.0,417.0,595.5,662.0
TRA2A,1832.0,2149.0,1663.0,2535.0,2434.5
GPSM2,153.0,263.0,155.0,280.5,269.5
SAC3D1,1384.0,1831.0,1561.0,1473.0,1638.0
FAM216A,1066.0,1457.0,749.0,1605.0,1475.0
CCDC106,22.0,62.0,38.0,69.5,63.0
EEF2K,303.0,531.0,368.0,484.5,516.0
SNX15,96.0,157.0,35.0,223.5,148.5
HOOK2,124.0,254.0,149.0,215.5,194.0
UBIAD1,685.0,558.0,488.0,592.0,610.0
HCFC2,12.0,16.0,15.0,14.0,15.5
SNX11,365.0,454.0,340.0,398.5,424.5
RMC1,38.0,62.0,38.0,65.0,64.0
PYCR2,634.0,1193.0,334.0,1495.0,1132.0
NME7,45.0,48.0,22.0,70.5,51.5
HILPDA,2459.0,1605.0,2071.0,1467.5,1681.0
EPN1,221.0,312.0,223.0,277.5,286.5
GMPPB,105.0,65.0,101.0,127.5,104.0
GMPPA,215.0,309.0,206.0,280.0,284.0
SEC61A1,6011.0,7250.0,5997.0,6065.5,6659.5
TIMM22,220.0,350.0,302.0,255.5,323.0
ALG6,79.0,97.0,67.0,127.5,104.5
GPR132,217.0,173.0,164.0,162.0,174.5
SNX12,343.0,411.0,230.0,343.5,361.0
RPA4,26.0,68.0,12.0,93.5,27.5
NENF,455.0,583.0,432.0,482.0,559.5
PKN3,172.0,228.0,192.0,208.5,193.5
ANAPC4,106.0,172.0,79.0,200.0,159.5
SERTAD3,25.0,3.0,25.0,2.0,8.5
OSGIN1,8.0,3.0,12.0,4.0,6.5
SERTAD1,194.0,230.0,134.0,138.0,324.0
DPP7,1924.0,2667.0,2405.0,2717.5,2619.0
TRHDE,2.0,15.0,5.0,11.5,7.0
POMT2,512.0,594.0,468.0,546.0,553.0
CERS2,258.0,249.0,113.0,425.5,262.5
SLC25A24,77.0,141.0,68.0,145.0,129.0
NRBP1,2096.0,2316.0,2166.0,2047.5,2309.0
MRM2,828.0,629.0,611.0,717.0,697.0
CDIP1,147.0,230.0,178.0,304.5,227.0
STRN3,501.0,628.0,618.0,623.5,578.5
LRP12,109.0,114.0,84.0,126.5,101.5
PSAT1,540.0,905.0,517.0,1051.5,883.0
MDFIC,252.0,475.0,249.0,449.0,405.0
UBQLN2,72.0,59.0,46.0,84.5,61.0
UBQLN1,1340.0,2111.0,1280.0,1988.5,1980.5
DONSON,492.0,414.0,298.0,493.0,456.0
NRBF2,143.0,123.0,140.0,117.0,138.0
SLC39A3,701.0,823.0,790.0,685.0,739.5
SLC2A8,306.0,367.0,299.0,338.5,308.0
PILRB,555.0,955.0,711.0,1062.0,940.0
PILRA,22.0,25.0,18.0,23.0,25.5
BAZ2B,623.0,704.0,559.0,690.5,789.5
NOP53,4205.0,5103.0,4105.0,4549.0,4764.5
BICRA,17.0,30.0,9.0,29.5,28.5
TNPO2,2764.0,3463.0,3026.0,3430.5,3307.5
ERO1A,612.0,728.0,550.0,850.5,761.5
SH3KBP1,1582.0,2654.0,1418.0,2582.0,2623.0
ST6GALNAC6,315.0,257.0,309.0,280.5,255.5
ADGRE2,365.0,319.0,191.0,303.0,328.0
CXXC1,703.0,1014.0,763.0,686.0,810.0
NT5C,488.0,660.0,651.0,709.0,665.0
ZNRD1,331.0,417.0,418.0,405.5,393.0
DNTTIP2,187.0,143.0,109.0,124.5,152.5
SOCS7,263.0,528.0,244.0,501.0,488.5
EHD4,34.0,24.0,11.0,44.5,31.0
EHD2,50.0,61.0,26.0,51.0,45.0
PIK3R4,93.0,73.0,92.0,161.0,126.5
CDR2L,208.0,286.0,215.0,245.5,291.5
TAX1BP3,144.0,305.0,148.0,237.5,301.5
STOML2,4572.0,6876.0,5610.0,5987.0,5823.0
ZBTB21,25.0,18.0,24.0,19.0,18.0
SCAPER,20.0,34.0,5.0,25.5,33.0
WRAP73,159.0,362.0,127.0,339.0,291.0
RRM2B,674.0,1026.0,518.0,1092.0,936.0
SMARCAL1,31.0,53.0,32.0,60.5,52.5
G0S2,29.0,30.0,31.0,59.0,31.5
MINK1,38.0,35.0,18.0,40.0,34.0
CHST11,608.0,1096.0,695.0,886.5,1086.0
IL21R,30.0,23.0,20.0,49.0,28.0
ITSN2,24.0,30.0,9.0,39.0,29.5
DEF6,497.0,642.0,546.0,692.5,607.5
CUZD1,1.0,7.0,5.0,2.5,2.5
CYHR1,802.0,1039.0,968.0,1070.0,1070.5
GEMIN4,474.0,555.0,526.0,444.0,558.5
PNPLA8,32.0,35.0,28.0,39.5,39.0
ARHGEF3,308.0,266.0,231.0,183.0,271.5
DCAF8,1711.0,1973.0,1458.0,2025.0,1979.5
ASAP1,379.0,638.0,290.0,476.5,524.0
AK3,559.0,637.0,413.0,599.0,614.5
HP1BP3,724.0,1450.0,771.0,1549.0,1381.5
COPS7A,421.0,782.0,262.0,1006.0,782.5
NSDHL,658.0,924.0,1039.0,691.5,875.0
TAS2R4,51.0,115.0,33.0,65.0,81.5
TAS2R14,9.0,10.0,3.0,19.5,12.0
F11R,430.0,510.0,496.0,474.0,509.5
VILL,37.0,40.0,18.0,39.0,32.0
SNHG32,2675.0,3772.0,2209.0,3474.5,3987.5
PARD6A,74.0,59.0,72.0,67.0,52.0
STMN3,33.0,59.0,55.0,49.0,59.5
RNF141,136.0,165.0,150.0,170.0,160.0
HEBP1,318.0,448.0,304.0,412.0,445.0
SHANK1,735.0,1019.0,567.0,1141.0,986.5
TMED5,519.0,518.0,349.0,608.0,559.5
SLC35B3,222.0,228.0,181.0,282.0,251.5
MTERF3,9.0,28.0,15.0,44.0,31.0
TPRKB,277.0,328.0,201.0,336.0,329.0
MED31,194.0,203.0,157.0,153.5,142.5
COQ6,40.0,53.0,30.0,58.5,66.5
AMDHD2,199.0,231.0,202.0,180.5,195.0
SLC35C2,464.0,675.0,562.0,634.0,669.5
ASCC1,215.0,279.0,185.0,293.0,250.5
DERL2,204.0,194.0,175.0,254.0,225.5
EXOSC3,446.0,577.0,393.0,679.0,617.0
FAHD2A,119.0,189.0,108.0,129.0,132.0
PRELID3B,218.0,166.0,129.0,286.5,174.0
EXOSC1,156.0,283.0,148.0,262.0,217.5
TMED7,206.0,237.0,132.0,290.0,244.5
ISOC1,79.0,177.0,65.0,166.0,147.0
EMC9,16.0,8.0,10.0,6.0,8.0
RRP15,124.0,144.0,66.0,165.0,134.5
HDDC2,748.0,1022.0,691.0,1059.0,960.5
MRPS16,1352.0,1383.0,1223.0,1223.0,1455.5
GLRX2,208.0,263.0,188.0,250.5,256.5
MRPS18C,613.0,711.0,571.0,685.5,713.0
FIS1,327.0,447.0,472.0,470.0,433.5
PAM16,64.0,65.0,80.0,77.5,71.0
GOLT1B,153.0,142.0,73.0,224.5,161.5
BOLA1,146.0,161.0,153.0,169.5,162.0
VPS36,502.0,608.0,424.0,709.0,612.5
DESI2,105.0,138.0,89.0,127.5,127.5
GLOD4,153.0,295.0,157.0,268.5,285.5
UBXN1,280.0,398.0,287.0,347.0,384.5
ZNF593,2066.0,1868.0,1748.0,1698.5,1839.0
ZBTB7B,24.0,27.0,49.0,44.0,28.0
GMNN,315.0,371.0,272.0,389.5,387.0
PLEKHA8P1,140.0,143.0,113.0,127.0,136.5
LAP3,88.0,121.0,107.0,148.5,128.0
WDPCP,37.0,30.0,22.0,32.5,33.0
ZNF691,9.0,10.0,2.0,4.5,7.5
TXNDC12,689.0,1013.0,589.0,1193.0,1049.5
TXNDC11,119.0,147.0,92.0,122.5,168.5
RPS27L,698.0,1025.0,506.0,1151.0,998.5
YARS2,92.0,58.0,95.0,129.0,96.5
NMD3,145.0,171.0,159.0,191.0,172.5
MRPL2,347.0,541.0,418.0,517.5,483.0
NOSIP,999.0,934.0,698.0,923.5,983.5
DERA,123.0,228.0,105.0,285.5,220.0
MEMO1,100.0,101.0,42.0,184.5,109.5
MRPL4,1688.0,2029.0,1916.0,1720.0,1917.0
APIP,31.0,38.0,11.0,96.0,40.5
TMX2,2601.0,4576.0,3882.0,3211.0,3675.5
CUTC,164.0,137.0,126.0,190.5,151.5
FCF1,187.0,229.0,117.0,316.0,223.0
THAP4,883.0,1485.0,1029.0,1235.5,1328.5
NDUFA13,1727.0,2000.0,1994.0,1755.0,1984.0
MRPS7,1144.0,1708.0,1157.0,1641.0,1514.5
POLR1D,880.0,1543.0,958.0,1451.5,1359.5
GAL,615.0,1093.0,566.0,1121.5,1072.0
CRYL1,34.0,43.0,45.0,80.0,53.5
MLXIPL,248.0,315.0,243.0,355.0,283.0
KLHL5,140.0,135.0,152.0,183.0,151.0
SEPSECS,12.0,7.0,11.0,15.5,18.0
SIDT2,376.0,668.0,546.0,489.5,593.5
RRNAD1,55.0,98.0,42.0,63.5,90.5
ADIPOR1,74.0,87.0,45.0,110.0,102.0
TRNT1,80.0,80.0,45.0,133.0,82.0
UTP18,127.0,176.0,103.0,202.0,167.5
SCCPDH,265.0,431.0,201.0,523.5,405.0
IFT52,29.0,49.0,27.0,37.5,39.0
ABHD5,122.0,74.0,75.0,87.5,96.5
SH3GLB1,318.0,386.0,253.0,329.5,326.5
MECR,278.0,397.0,300.0,321.5,367.5
NDUFAF1,109.0,197.0,82.0,250.5,210.5
ABHD17B,147.0,36.0,66.0,73.0,82.0
PHF20L1,329.0,289.0,235.0,315.5,296.5
TFB1M,223.0,238.0,136.0,289.5,278.5
APH1A,3743.0,5292.0,3422.0,5915.5,5380.5
METTL9,657.0,700.0,451.0,782.0,709.5
RDH11,618.0,660.0,412.0,863.5,723.5
LACTB2,79.0,142.0,42.0,138.0,135.5
KMT5B,431.0,334.0,388.0,310.5,375.0
TRAPPC12,178.0,218.0,133.0,199.5,217.0
ZDHHC9,432.0,373.0,341.0,419.0,412.5
RMDN1,853.0,845.0,614.0,968.0,883.0
MRPS2,1570.0,1923.0,1536.0,1757.5,1858.5
COQ4,237.0,323.0,278.0,295.5,313.0
UTP11,350.0,494.0,349.0,417.5,424.0
SBDS,40.0,32.0,16.0,39.5,37.5
RPL26L1,414.0,656.0,549.0,712.0,622.0
COMMD2,126.0,85.0,99.0,140.0,93.5
ZNF706,630.0,1025.0,520.0,1270.0,1017.0
IER3IP1,690.0,1161.0,544.0,1253.0,1117.0
GOLGA7,811.0,789.0,495.0,1118.5,817.5
NAA20,867.0,869.0,655.0,1189.5,1003.0
SAR1B,190.0,176.0,141.0,221.5,163.5
ASB3,397.0,387.0,350.0,332.5,374.5
PHF11,69.0,112.0,70.0,82.0,92.5
RLIM,3102.0,4096.0,2125.0,4269.5,4052.0
KCTD3,69.0,80.0,49.0,165.5,127.5
CEP83,14.0,8.0,10.0,14.0,11.5
IRAK4,171.0,272.0,103.0,252.0,263.0
RNFT1,8.0,9.0,4.0,9.0,8.5
COPS4,158.0,153.0,84.0,185.0,148.0
INSIG2,12.0,8.0,1.0,17.5,12.5
CHCHD2,56551.0,73663.0,61354.0,57931.5,64004.5
DYNC1LI1,82.0,69.0,62.0,118.0,72.5
HSD17B12,353.0,261.0,200.0,322.0,271.5
ING4,410.0,479.0,344.0,484.0,466.5
CERCAM,90.0,95.0,112.0,103.0,87.5
MRNIP,99.0,213.0,167.0,214.0,175.0
SDF4,4263.0,7922.0,5538.0,6708.0,6978.5
MRTO4,2195.0,1691.0,1668.0,1671.0,1684.5
JPT1,1650.0,2197.0,1663.0,2063.0,2274.5
ZNF580,419.0,540.0,353.0,486.0,402.0
VPS28,3018.0,4915.0,4670.0,3686.0,4343.5
DBR1,43.0,32.0,23.0,52.5,40.5
DCTN4,214.0,344.0,305.0,339.0,293.0
CYB5R4,116.0,175.0,80.0,184.5,177.0
HSD17B11,589.0,580.0,397.0,576.5,567.0
NAGPA,753.0,927.0,828.0,911.0,887.0
TUBD1,141.0,103.0,52.0,63.0,83.0
TUBE1,13.0,15.0,9.0,25.0,19.5
PLEKHO1,1048.0,815.0,803.0,859.5,852.5
DCXR,385.0,566.0,560.0,427.0,535.0
HSPA14,360.0,369.0,265.0,367.5,402.5
GPN3,115.0,221.0,103.0,330.0,217.5
CRBN,206.0,220.0,200.0,205.0,207.0
RSL24D1,917.0,1388.0,852.0,1761.0,1317.0
SS18L2,739.0,1237.0,1151.0,833.5,972.0
HERC5,38.0,75.0,46.0,94.5,56.5
CKLF,195.0,333.0,137.0,361.5,309.0
ZNF639,92.0,97.0,59.0,83.0,94.0
IPO11,145.0,120.0,130.0,195.0,147.5
RAPGEFL1,4.0,6.0,5.0,4.5,7.5
NIN,193.0,341.0,175.0,264.5,290.5
ZDHHC2,345.0,547.0,324.0,557.0,562.5
DDX47,52.0,120.0,30.0,139.5,124.5
NUSAP1,720.0,1054.0,791.0,1091.5,1084.5
TACO1,387.0,414.0,418.0,449.5,433.0
GLRX5,2429.0,2424.0,1769.0,2552.5,2407.5
ZNF219,213.0,329.0,253.0,268.5,319.5
PIGP,22.0,75.0,36.0,41.0,52.5
GLTP,186.0,221.0,172.0,228.5,222.5
PHF20,530.0,612.0,542.0,489.0,652.0
VRK3,1077.0,1180.0,985.0,891.0,1108.5
CRIM1,8.0,7.0,7.0,4.5,4.5
EMC4,397.0,538.0,254.0,579.5,551.5
HGH1,195.0,341.0,232.0,273.0,337.5
ANKRD39,382.0,374.0,280.0,480.0,435.0
COX16,403.0,458.0,337.0,489.5,438.0
CCDC174,52.0,24.0,19.0,20.5,31.5
SHISA5,1376.0,2100.0,1574.0,1716.5,1917.0
PAIP2,351.0,614.0,304.0,606.0,584.0
PDZD11,103.0,107.0,106.0,91.0,86.0
TMEM69,357.0,494.0,480.0,362.5,404.5
MTRES1,587.0,801.0,459.0,817.0,804.0
NT5C3A,186.0,224.0,171.0,215.0,246.0
MRPL37,338.0,552.0,331.0,497.5,426.5
RNF181,2378.0,2820.0,3297.0,2249.0,2805.0
TBC1D7,270.0,421.0,262.0,455.5,409.5
MARCHF2,5.0,25.0,14.0,25.5,23.0
MRPL51,862.0,1052.0,755.0,1015.5,1038.5
TMEM216,16.0,3.0,4.0,9.0,7.0
PBDC1,1313.0,1635.0,1173.0,1659.5,1597.5
MRPL30,423.0,658.0,539.0,597.0,580.5
MRPL27,2207.0,2582.0,2260.0,2179.5,2360.5
UBAP1,140.0,127.0,104.0,146.5,128.0
BET1L,350.0,295.0,214.0,290.5,342.5
KLF3,11.0,10.0,3.0,9.5,11.0
MAPKAPK5-AS1,423.0,364.0,392.0,277.0,370.5
DNAJC27,14.0,7.0,14.0,13.0,10.5
IER5,1331.0,1153.0,785.0,660.5,1429.0
C1RL,47.0,52.0,35.0,107.0,72.5
GOLM1,16.0,14.0,8.0,11.5,14.0
ANKMY1,24.0,36.0,31.0,28.5,44.0
SCAND1,757.0,945.0,726.0,761.0,918.5
BFAR,333.0,300.0,264.0,370.5,327.5
TLR7,3.0,1.0,2.0,2.0,1.0
