GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
ERF,1072.5,498.5,426.5,340.25
ERH,6240.25,3690.0,4648.25,3877.25
ERN1,56.25,35.75,51.75,23.0
ERV3-1,367.0,288.0,99.5,73.5
FBL,984.5,687.5,845.25,810.5
ESD,314.25,123.0,113.0,87.75
ESR2,1.75,2.0,1.25,1.25
ESRRA,492.5,308.25,470.5,431.25
ESRRB,1.25,1.25,1.5,3.5
ETF1,8019.75,5997.5,6872.5,5536.0
ETFA,698.75,307.0,404.75,312.5
ETFB,156.0,115.0,137.0,125.75
ETFDH,66.25,49.5,47.0,45.25
ETS1,904.0,643.0,466.75,309.0
ETS2,1748.75,1916.75,1584.0,1774.75
ETV1,47.75,35.75,16.25,7.5
ETV2,4.0,3.0,3.0,2.75
ETV3,51.5,29.25,32.25,15.25
ETV4,400.75,264.0,302.5,184.0
ETV5,2652.25,1883.0,1424.5,754.0
ETV6,5349.25,3608.25,4549.5,3841.25
EVI2A,548.0,425.5,429.0,272.25
EVI2B,607.25,423.5,368.5,172.0
EWSR1,2028.75,1519.5,1747.25,1440.25
EXT1,26.0,18.25,34.0,16.5
EXT2,744.25,544.5,761.25,595.25
EXTL2,545.0,379.75,400.5,273.0
EXTL3,1247.75,798.0,1017.5,648.75
EYA2,7.25,1.0,2.5,3.25
EYA3,1517.5,940.0,1386.25,972.75
EZH1,434.25,266.5,425.5,290.0
EZH2,325.25,239.25,411.5,342.75
F2R,1113.0,871.25,570.25,447.0
F2RL2,2.25,1.25,1.75,1.25
F3,688.75,430.5,885.75,537.25
F8,487.5,360.25,261.25,206.5
F12,13.0,7.25,9.25,4.75
F13A1,8.0,5.0,3.75,2.75
FAAH,20.25,11.5,12.5,16.5
FABP3,23.25,13.0,21.0,12.25
FABP5,213.0,149.25,203.5,194.75
FANCA,848.0,533.75,692.25,533.25
FANCC,637.5,411.0,497.5,364.25
FANCD2,617.75,351.75,415.0,319.25
FANCE,506.0,368.0,463.75,372.0
ACSL1,5149.5,4170.25,4022.5,3238.25
ACSL3,781.5,520.0,552.5,491.5
ACSL4,4704.75,3295.75,3879.25,3605.0
FAH,170.75,140.5,219.5,192.75
PTK2B,2591.75,1615.75,1893.25,1462.5
BPTF,586.25,384.75,564.0,402.5
FANCB,24.75,13.0,15.25,12.0
FANCF,143.25,94.0,181.75,113.25
FANCG,261.0,187.25,259.25,186.0
FARSA,698.75,475.5,842.0,706.0
FASN,835.25,548.0,703.0,714.0
FAT2,12.75,3.25,4.25,2.0
FAU,2275.5,1776.5,2314.0,2023.25
FBN1,9.0,5.5,13.5,7.25
FBN2,34.5,20.25,25.25,13.0
FBP1,4.75,3.75,3.0,4.5
FCER1A,4.5,3.0,3.5,2.25
MS4A2,5.25,2.5,11.25,3.5
FCER1G,286.75,191.5,78.25,54.0
FCER2,30.0,18.75,10.0,9.5
FCGR1A,304.0,300.0,258.0,261.5
2210,113.5,138.0,35.75,78.25
FCGR2A,1267.0,982.25,1136.75,813.0
FCGR2B,41.5,32.75,18.25,13.5
FCGRT,26.5,22.0,14.25,16.25
FKTN,1613.25,1117.5,977.25,766.0
FDFT1,1256.75,1006.75,1150.75,1743.75
FDPS,312.0,226.5,323.0,335.5
FDX1,729.0,578.5,645.5,480.5
