GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
MIR1244-1,0.0,0.0,0.0,0.25
RASAL2-AS1,0.5,0.0,0.25,0.25
100302650,2.0,0.75,1.25,0.75
LINC00184,0.5,0.0,0.0,0.0
FTX,5.0,1.25,0.5,0.25
TMED7-TICAM2,6.0,2.5,0.75,1.25
SNORA80B,0.5,0.5,0.5,0.0
100303453,0.75,1.0,1.0,0.0
ZEB2-AS1,7.25,3.0,0.75,1.25
SLC25A5-AS1,5.5,2.0,3.0,0.75
PET117,76.75,16.25,22.75,15.75
PITPNA-AS1,18.25,4.5,5.75,2.0
SPDYE2B,0.0,0.0,0.0,0.0
ANKRD61,0.0,0.0,0.0,0.0
100313769,3.25,1.25,0.0,0.75
MIR762,0.25,0.0,0.25,0.0
MIR2277,0.75,0.75,0.5,0.0
MIR761,0.0,0.0,0.25,0.0
SAP25,1.0,0.5,0.0,0.0
100329109,16.0,3.0,1.75,1.0
TRPC5OS,0.75,0.0,0.25,0.25
SNORA70G,0.0,0.0,0.0,0.0
100379224,20.0,5.25,7.25,5.25
100379345,7.75,2.5,4.75,2.25
ZBED6,2.75,0.25,0.25,0.25
AC005394.2,0.0,0.25,0.0,0.0
FAM21EP,1.5,0.0,1.25,0.5
100422212,1.0,0.0,0.0,0.25
100422556,1.0,0.25,0.0,0.0
100422558,9.75,1.0,2.75,2.0
MIR3191,0.25,0.0,0.0,0.75
MIR3164,0.25,0.5,0.0,0.0
MIR3187,0.25,0.25,0.0,0.25
MIR4292,2.25,0.75,0.5,0.25
MIR544B,0.75,0.5,0.5,0.25
MIR1244-3,0.0,0.0,0.0,0.25
MIR3124,0.0,0.0,0.0,0.0
MIR1244-2,0.0,0.0,0.0,0.25
MIR3190,0.0,0.0,0.0,0.0
100422913,10.25,4.0,1.5,2.25
MIR3149,0.25,0.0,0.0,0.0
MIR4261,0.0,0.0,0.0,0.0
MIR3153,2.0,0.5,0.25,0.0
MIR3186,0.0,0.0,0.0,0.0
MIR4271,0.0,0.0,0.0,0.0
MIR4273,0.0,0.0,0.0,0.0
MIR4315-2,3.75,0.75,0.25,0.5
MIR4263,0.25,0.25,0.0,0.25
MIR4312,0.5,0.5,0.25,0.5
MIR1184-3,0.0,0.0,0.0,0.0
MIR3185,0.0,0.0,0.0,0.0
MIR1184-2,0.0,0.0,0.0,0.0
MIR1260B,0.0,0.0,0.0,0.0
MIR4257,0.0,0.0,0.0,0.0
MIR4315-1,3.75,0.75,0.25,0.5
