;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_10249_lociStitched;CD38;;CD38;
1_merged_PDX_cell_lines_AML_1025_lociStitched;ARL15;;ARL15;
1_merged_PDX_cell_lines_AML_10250_lociStitched;BACH2;;BACH2;
1_merged_PDX_cell_lines_AML_10251_lociStitched;HMBOX1;;HMBOX1;
1_merged_PDX_cell_lines_AML_10252_lociStitched;;CHMP1A DPEP1 RPL13 C16orf55 SNORD68 CPNE7;DPEP1;
1_merged_PDX_cell_lines_AML_10253_lociStitched;CMAH;;CMAH;
1_merged_PDX_cell_lines_AML_10254_lociStitched;ALDH5A1;GPLD1;ALDH5A1;
1_merged_PDX_cell_lines_AML_10255_lociStitched;;SUCNR1;SUCNR1;
1_merged_PDX_cell_lines_AML_10256_lociStitched;SMOC1;;SMOC1;
1_merged_PDX_cell_lines_AML_10257_lociStitched;FLJ39639;ZNF200 MEFV ZNF75A OR1F2P ZNF263 TIGD7;FLJ39639;
1_merged_PDX_cell_lines_AML_10258_lociStitched;;ULK4;ULK4;
1_merged_PDX_cell_lines_AML_10259_lociStitched;;;TMEM161B;
1_merged_PDX_cell_lines_AML_1026_lociStitched;UVRAG;DGAT2;UVRAG;
1_merged_PDX_cell_lines_AML_10260_lociStitched;CALCRL;;CALCRL;
1_merged_PDX_cell_lines_AML_10261_lociStitched;;EIF2C2;EIF2C2;
1_merged_PDX_cell_lines_AML_10262_lociStitched;SH3PXD2A;;NEURL;
1_merged_PDX_cell_lines_AML_10263_lociStitched;;CLIC4;CLIC4;
1_merged_PDX_cell_lines_AML_10264_lociStitched;;USP3;USP3;
1_merged_PDX_cell_lines_AML_10265_lociStitched;C1orf21;;C1orf21;
1_merged_PDX_cell_lines_AML_10266_lociStitched;;PARP16;PARP16;
1_merged_PDX_cell_lines_AML_10267_lociStitched;;TRIM55;TRIM55;
1_merged_PDX_cell_lines_AML_10268_lociStitched;C21orf29;KRTAP10-7 KRTAP10-5 KRTAP10-6 KRTAP10-3 KRTAP10-4 C21orf90 KRTAP10-8 KRTAP10-2 KRTAP10-1;KRTAP10-4;
1_merged_PDX_cell_lines_AML_10269_lociStitched;;;SERP2;
1_merged_PDX_cell_lines_AML_1027_lociStitched;CAPSL;IL7R;CAPSL;
