;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_10270_lociStitched;;C2orf52 NMUR1 C2orf57;NMUR1;
1_merged_PDX_cell_lines_AML_10271_lociStitched;DENND5A;;FLJ46111;
1_merged_PDX_cell_lines_AML_10272_lociStitched;RRBP1;BANF2;RRBP1;
1_merged_PDX_cell_lines_AML_10273_lociStitched;PLA2G2C;UBXN10 PLA2G2F;PLA2G2C;
1_merged_PDX_cell_lines_AML_10274_lociStitched;ARID5A;NEURL3;ARID5A;
1_merged_PDX_cell_lines_AML_10275_lociStitched;;SORL1;SORL1;
1_merged_PDX_cell_lines_AML_10276_lociStitched;SMARCC1;DHX30;SMARCC1;
1_merged_PDX_cell_lines_AML_10277_lociStitched;APOC2 APOC4;APOC1 CLPTM1 APOC1P1 APOE;APOC2;
1_merged_PDX_cell_lines_AML_10278_lociStitched;PCK2;DCAF11 FITM1 CPNE6 LRRC16B PSME1 NRL FAM158A PSME2;PCK2;
1_merged_PDX_cell_lines_AML_10279_lociStitched;ORC3;NCRNA00120 AKIRIN2;NCRNA00120;
1_merged_PDX_cell_lines_AML_1028_lociStitched;NFATC2;MIR3194;MIR3194;
1_merged_PDX_cell_lines_AML_10280_lociStitched;ZBTB20;;ZBTB20;
1_merged_PDX_cell_lines_AML_10281_lociStitched;KCNJ6;;KCNJ6;
1_merged_PDX_cell_lines_AML_10282_lociStitched;RNPEPL1;CAPN10 GPR35 ANKMY1 DUSP28;RNPEPL1;
1_merged_PDX_cell_lines_AML_10283_lociStitched;DIS3L;SCARNA14 MEGF11;DIS3L;
1_merged_PDX_cell_lines_AML_10284_lociStitched;TXNL1;TXNL1 WDR7;TXNL1;
1_merged_PDX_cell_lines_AML_10285_lociStitched;;GCOM1;GCOM1;
1_merged_PDX_cell_lines_AML_10286_lociStitched;;CD5;CD5;
1_merged_PDX_cell_lines_AML_10287_lociStitched;S100A6 S100A5;S100A4 S100A3 S100A2;S100A6;
1_merged_PDX_cell_lines_AML_10288_lociStitched;FAM120A FAM120AOS;;FAM120A;
1_merged_PDX_cell_lines_AML_10289_lociStitched;;GPR12;GPR12;
1_merged_PDX_cell_lines_AML_1029_lociStitched;;;MIR128-2;
1_merged_PDX_cell_lines_AML_10290_lociStitched;JARID2;;JARID2;
1_merged_PDX_cell_lines_AML_10291_lociStitched;FOXI1;;FOXI1;
1_merged_PDX_cell_lines_AML_10292_lociStitched;ACBD5;ACBD5 LOC387646;ACBD5;
1_merged_PDX_cell_lines_AML_10293_lociStitched;DNAH11;;DNAH11;
1_merged_PDX_cell_lines_AML_10294_lociStitched;HSPA5;RABEPK PPP6C GAPVD1;HSPA5;
1_merged_PDX_cell_lines_AML_10295_lociStitched;PDE7B;;FAM54A;
1_merged_PDX_cell_lines_AML_10296_lociStitched;DUSP14;;DUSP14;
1_merged_PDX_cell_lines_AML_10297_lociStitched;MGRN1;FAM100A;MGRN1;
1_merged_PDX_cell_lines_AML_10298_lociStitched;IRF2;;IRF2;
1_merged_PDX_cell_lines_AML_10299_lociStitched;CREBBP;CREBBP;CREBBP;
1_merged_PDX_cell_lines_AML_103_lociStitched;C10orf114 MLLT10 MIR1915 C10orf140;;C10orf140;
1_merged_PDX_cell_lines_AML_1030_lociStitched;NUP160;;NUP160;
1_merged_PDX_cell_lines_AML_10300_lociStitched;;RUFY4 CXCR2P1;RUFY4;
1_merged_PDX_cell_lines_AML_10301_lociStitched;ARID5B;;ARID5B;
1_merged_PDX_cell_lines_AML_10302_lociStitched;;;HDAC9;
1_merged_PDX_cell_lines_AML_10303_lociStitched;;;IRX1;
1_merged_PDX_cell_lines_AML_10304_lociStitched;NOX3;;NOX3;
1_merged_PDX_cell_lines_AML_10305_lociStitched;;;MLLT3;
1_merged_PDX_cell_lines_AML_10306_lociStitched;SYS1 SYS1-DBNDD2;PIGT DBNDD2 TP53TG5 SDC4;SYS1-DBNDD2;
1_merged_PDX_cell_lines_AML_10307_lociStitched;SEPT2 HDLBP;SEPT2 HDLBP FARP2;SEPT2;
1_merged_PDX_cell_lines_AML_10308_lociStitched;SPATA1 GNG5;RPF1;SPATA1;
1_merged_PDX_cell_lines_AML_10309_lociStitched;FPR2;FPR3 FPR1 HAS1;FPR2;
1_merged_PDX_cell_lines_AML_1031_lociStitched;MORN3;TMEM120B ORAI1;MORN3;
1_merged_PDX_cell_lines_AML_10310_lociStitched;AP2B1;PEX12 AP2B1 SLFN14 SNORD7;AP2B1;
1_merged_PDX_cell_lines_AML_10311_lociStitched;;IL21R;IL21R;
1_merged_PDX_cell_lines_AML_10312_lociStitched;;GUSB;GUSB;
1_merged_PDX_cell_lines_AML_10313_lociStitched;SPTY2D1;LOC100132715 UEVLD;SPTY2D1;
1_merged_PDX_cell_lines_AML_10314_lociStitched;SLC25A25;SLC25A25 LOC100289019 LOC389791 PTGES2 NAIF1;SLC25A25;
1_merged_PDX_cell_lines_AML_10315_lociStitched;SNHG4 MATR3;MATR3 SNORA74A;SNHG4;
1_merged_PDX_cell_lines_AML_10316_lociStitched;P2RY13 MED12L;GPR87 P2RY14 P2RY12;P2RY13;
1_merged_PDX_cell_lines_AML_10317_lociStitched;STIM1;;STIM1;
1_merged_PDX_cell_lines_AML_10318_lociStitched;;;KAZ;
1_merged_PDX_cell_lines_AML_10319_lociStitched;RPS3A;SNORD73A;RPS3A;
1_merged_PDX_cell_lines_AML_1032_lociStitched;DACH1;DACH1;DACH1;
1_merged_PDX_cell_lines_AML_10320_lociStitched;TOX;;NSMAF;
1_merged_PDX_cell_lines_AML_10321_lociStitched;;;CCRN4L;
1_merged_PDX_cell_lines_AML_10322_lociStitched;ATP8A2;;SHISA2;
1_merged_PDX_cell_lines_AML_10323_lociStitched;;LOC100129316;LOC100129316;
1_merged_PDX_cell_lines_AML_10324_lociStitched;RUVBL2 GYS1;SNAR-G1 GYS1 BAX FTL CGB2 SNAR-G2 CGB LHB CGB5 CGB1;RUVBL2;
1_merged_PDX_cell_lines_AML_10325_lociStitched;ARMC8;DBR1;ARMC8;
1_merged_PDX_cell_lines_AML_10326_lociStitched;DIAPH3;;DIAPH3;
1_merged_PDX_cell_lines_AML_10327_lociStitched;;LOC285419;LOC285419;
1_merged_PDX_cell_lines_AML_10328_lociStitched;C7orf69 PKD1L1;;C7orf69;
1_merged_PDX_cell_lines_AML_10329_lociStitched;C4orf31;;C4orf31;
1_merged_PDX_cell_lines_AML_1033_lociStitched;LOC728460;ZNF474;LOC728460;
1_merged_PDX_cell_lines_AML_10330_lociStitched;;;FSTL4;
1_merged_PDX_cell_lines_AML_10331_lociStitched;AIF1;C6orf47 SNORA38 BAT3 GPANK1 LST1 NCR3 BAT2 LTA TNF APOM CSNK2B LTB;AIF1;
1_merged_PDX_cell_lines_AML_10332_lociStitched;;;RSPO2;
1_merged_PDX_cell_lines_AML_10333_lociStitched;THSD7A;;THSD7A;
1_merged_PDX_cell_lines_AML_10334_lociStitched;;SLCO4A1 NTSR1 LOC100127888;NTSR1;
1_merged_PDX_cell_lines_AML_10335_lociStitched;ASTN1;FAM5B;ASTN1;
1_merged_PDX_cell_lines_AML_10336_lociStitched;B3GNT8 BCKDHA;TMEM91 ATP5SL C19orf69 EXOSC5;B3GNT8;
1_merged_PDX_cell_lines_AML_10337_lociStitched;;CAP1 MFSD2A;CAP1;
1_merged_PDX_cell_lines_AML_10338_lociStitched;EIF2C2;;EIF2C2;
1_merged_PDX_cell_lines_AML_10339_lociStitched;ADC;;ADC;
1_merged_PDX_cell_lines_AML_1034_lociStitched;C19orf2;;C19orf2;
1_merged_PDX_cell_lines_AML_10340_lociStitched;RUNDC2C;;RUNDC2C;
1_merged_PDX_cell_lines_AML_10341_lociStitched;;TTC29;TTC29;
1_merged_PDX_cell_lines_AML_10342_lociStitched;CAMK2G;FUT11 KIAA0913 NDST2 CHCHD1;NDST2;
1_merged_PDX_cell_lines_AML_10343_lociStitched;SND1;PAX4;SND1;
1_merged_PDX_cell_lines_AML_10344_lociStitched;;DHRS9;DHRS9;
1_merged_PDX_cell_lines_AML_10345_lociStitched;;GSX1;GSX1;
1_merged_PDX_cell_lines_AML_10346_lociStitched;;C1orf61 MIR9-1;C1orf61;
1_merged_PDX_cell_lines_AML_10347_lociStitched;;;UBE2E2;
1_merged_PDX_cell_lines_AML_10348_lociStitched;CAMK2D;;CAMK2D;
1_merged_PDX_cell_lines_AML_10349_lociStitched;SLC25A3;SNORA53 APAF1 SLC25A3 IKBIP;SLC25A3;
1_merged_PDX_cell_lines_AML_1035_lociStitched;;DDIT4 ANAPC16 ASCC1;DDIT4;
1_merged_PDX_cell_lines_AML_10350_lociStitched;;NDUFB4;NDUFB4;
1_merged_PDX_cell_lines_AML_10351_lociStitched;;;RGS1;
1_merged_PDX_cell_lines_AML_10352_lociStitched;FAM107B;;FAM107B;
1_merged_PDX_cell_lines_AML_10353_lociStitched;TCF4;;CCDC68;
1_merged_PDX_cell_lines_AML_10354_lociStitched;DAAM1;;DAAM1;
1_merged_PDX_cell_lines_AML_10355_lociStitched;TSGA14;MEST;TSGA14;
1_merged_PDX_cell_lines_AML_10356_lociStitched;ST6GAL1;;ST6GAL1;
1_merged_PDX_cell_lines_AML_10357_lociStitched;CLCNKB;CLCNKA C1orf64 HSPB7 FAM131C;CLCNKB;
1_merged_PDX_cell_lines_AML_10358_lociStitched;DNM2;MIR199A1;MIR199A1;
1_merged_PDX_cell_lines_AML_10359_lociStitched;;NLRP3;NLRP3;
1_merged_PDX_cell_lines_AML_1036_lociStitched;;;HSPA13;
1_merged_PDX_cell_lines_AML_10360_lociStitched;C1orf59;PRPF38B;C1orf59;
1_merged_PDX_cell_lines_AML_10361_lociStitched;;LCP1;LCP1;
1_merged_PDX_cell_lines_AML_10362_lociStitched;;;TPRG1;
1_merged_PDX_cell_lines_AML_10363_lociStitched;TTC15;TSSC1;TTC15;
1_merged_PDX_cell_lines_AML_10364_lociStitched;;;RBFOX1;
1_merged_PDX_cell_lines_AML_10365_lociStitched;SYNE1;SYNE1;SYNE1;
1_merged_PDX_cell_lines_AML_10366_lociStitched;;NACAP1;NACAP1;
1_merged_PDX_cell_lines_AML_10367_lociStitched;CD44;;CD44;
1_merged_PDX_cell_lines_AML_10368_lociStitched;FLJ22536;;FLJ22536;
1_merged_PDX_cell_lines_AML_10369_lociStitched;RUNDC2C;;RUNDC2C;
1_merged_PDX_cell_lines_AML_1037_lociStitched;;;SLC8A1;
1_merged_PDX_cell_lines_AML_10370_lociStitched;TLE4;;TLE4;
1_merged_PDX_cell_lines_AML_10371_lociStitched;;CCL25 ELAVL1;CCL25;
1_merged_PDX_cell_lines_AML_10372_lociStitched;SH3BP4;;SH3BP4;
1_merged_PDX_cell_lines_AML_10373_lociStitched;;VWF CD9;VWF;
1_merged_PDX_cell_lines_AML_10374_lociStitched;SSR1;;SSR1;
1_merged_PDX_cell_lines_AML_10375_lociStitched;NR6A1;OLFML2A NR6A1;NR6A1;
1_merged_PDX_cell_lines_AML_10376_lociStitched;IQCJ IQCJ-SCHIP1;IQCJ;IQCJ;
1_merged_PDX_cell_lines_AML_10377_lociStitched;ITGA9;;ITGA9;
1_merged_PDX_cell_lines_AML_10378_lociStitched;;;C8orf42;
1_merged_PDX_cell_lines_AML_10379_lociStitched;MPZ;PCP4L1 SDHC;MPZ;
1_merged_PDX_cell_lines_AML_1038_lociStitched;;PGS1 SOCS3;SOCS3;
1_merged_PDX_cell_lines_AML_10380_lociStitched;EMILIN2;;EMILIN2;
1_merged_PDX_cell_lines_AML_10381_lociStitched;RPSAP58;ZNF681;RPSAP58;
1_merged_PDX_cell_lines_AML_10382_lociStitched;;;NDFIP2;
1_merged_PDX_cell_lines_AML_10383_lociStitched;RGS12;;RGS12;
1_merged_PDX_cell_lines_AML_10384_lociStitched;;;RFX8;
1_merged_PDX_cell_lines_AML_10385_lociStitched;;;FAR2;
1_merged_PDX_cell_lines_AML_10386_lociStitched;;CDH9;CDH9;
1_merged_PDX_cell_lines_AML_10387_lociStitched;;;SP3;
1_merged_PDX_cell_lines_AML_10388_lociStitched;MTF2;MTF2;MTF2;
1_merged_PDX_cell_lines_AML_10389_lociStitched;ODF3L1;MIR4313 CSPG4 DNM1P35;ODF3L1;
1_merged_PDX_cell_lines_AML_1039_lociStitched;LOC100130275 TFAP2A;C6orf218;LOC100130275;
1_merged_PDX_cell_lines_AML_10390_lociStitched;PTPN11;RPL6;PTPN11;
1_merged_PDX_cell_lines_AML_10391_lociStitched;CEP68;RAB1A;CEP68;
1_merged_PDX_cell_lines_AML_10392_lociStitched;NSMAF;;NSMAF;
1_merged_PDX_cell_lines_AML_10393_lociStitched;C9orf156;HEMGN;C9orf156;
1_merged_PDX_cell_lines_AML_10394_lociStitched;;;TBL1XR1;
1_merged_PDX_cell_lines_AML_10395_lociStitched;;;IRS2;
1_merged_PDX_cell_lines_AML_10396_lociStitched;;;ZNF703;
1_merged_PDX_cell_lines_AML_10397_lociStitched;DDX21;KIAA1279;DDX21;
1_merged_PDX_cell_lines_AML_10398_lociStitched;;METTL7B OR10P1 RDH5 ITGA7 BLOC1S1;METTL7B;
1_merged_PDX_cell_lines_AML_10399_lociStitched;;;CSGALNACT1;
1_merged_PDX_cell_lines_AML_104_lociStitched;CHST11;;CHST11;
1_merged_PDX_cell_lines_AML_1040_lociStitched;SAMSN1;;SAMSN1;
1_merged_PDX_cell_lines_AML_10400_lociStitched;TBC1D9;;TBC1D9;
1_merged_PDX_cell_lines_AML_10401_lociStitched;FARS2;;NRN1;
1_merged_PDX_cell_lines_AML_10402_lociStitched;IL2RA;RBM17;IL2RA;
1_merged_PDX_cell_lines_AML_10403_lociStitched;DOK3 DDX41;DOK3 DBN1 PDLIM7 FAM193B;DOK3;
1_merged_PDX_cell_lines_AML_10404_lociStitched;;ELF2;ELF2;
1_merged_PDX_cell_lines_AML_10405_lociStitched;;;DGUOK;
1_merged_PDX_cell_lines_AML_10406_lociStitched;MOBKL2B;;IFNK;
1_merged_PDX_cell_lines_AML_10407_lociStitched;;ODF1;ODF1;
1_merged_PDX_cell_lines_AML_10408_lociStitched;;CDK5RAP3 COPZ2 NFE2L1 PRR15L MIR152;CDK5RAP3;
1_merged_PDX_cell_lines_AML_10409_lociStitched;;;HDAC9;
1_merged_PDX_cell_lines_AML_1041_lociStitched;MAD1L1;;MAD1L1;
1_merged_PDX_cell_lines_AML_10410_lociStitched;KIAA1147;WEE2;KIAA1147;
1_merged_PDX_cell_lines_AML_10411_lociStitched;TMEM165;SRD5A3;TMEM165;
1_merged_PDX_cell_lines_AML_10412_lociStitched;NEK9;TMED10;NEK9;
1_merged_PDX_cell_lines_AML_10413_lociStitched;;;SVIL;
1_merged_PDX_cell_lines_AML_10414_lociStitched;;OPRK1;OPRK1;
1_merged_PDX_cell_lines_AML_10415_lociStitched;AMIGO2;;AMIGO2;
1_merged_PDX_cell_lines_AML_10416_lociStitched;;;LZTS1;
1_merged_PDX_cell_lines_AML_10417_lociStitched;INSC;CALCB;INSC;
1_merged_PDX_cell_lines_AML_10418_lociStitched;MDGA1;;MDGA1;
1_merged_PDX_cell_lines_AML_10419_lociStitched;;;PKIA;
1_merged_PDX_cell_lines_AML_1042_lociStitched;MAP2K2;ZBTB7A;ZBTB7A;
1_merged_PDX_cell_lines_AML_10420_lociStitched;DNAJB1;GIPC1 MIR639 LOC100130932 PTGER1 TECR;DNAJB1;
1_merged_PDX_cell_lines_AML_10421_lociStitched;;;C11orf53;
1_merged_PDX_cell_lines_AML_10422_lociStitched;;PLAC8;PLAC8;
1_merged_PDX_cell_lines_AML_10423_lociStitched;;;LOC100302640;
1_merged_PDX_cell_lines_AML_10424_lociStitched;EHD4;SPTBN5;EHD4;
1_merged_PDX_cell_lines_AML_10425_lociStitched;;;BTBD3;
1_merged_PDX_cell_lines_AML_10426_lociStitched;ATP6V1E1;BCL2L13 ATP6V1E1 SLC25A18;ATP6V1E1;
1_merged_PDX_cell_lines_AML_10427_lociStitched;RRP12;FRAT1 FRAT2 RRP12;FRAT2;
1_merged_PDX_cell_lines_AML_10428_lociStitched;;;LOC400958;
1_merged_PDX_cell_lines_AML_10429_lociStitched;PTPRO;PTPRO;PTPRO;
1_merged_PDX_cell_lines_AML_1043_lociStitched;;SLC27A2 ATP8B4;ATP8B4;
1_merged_PDX_cell_lines_AML_10430_lociStitched;;;CCDC91;
1_merged_PDX_cell_lines_AML_10431_lociStitched;SEMA5A;;SEMA5A;
1_merged_PDX_cell_lines_AML_10432_lociStitched;KLF4;;KLF4;
1_merged_PDX_cell_lines_AML_10433_lociStitched;ABCA6;;ABCA6;
1_merged_PDX_cell_lines_AML_10434_lociStitched;;KIAA1737 ZDHHC22;ZDHHC22;
1_merged_PDX_cell_lines_AML_10435_lociStitched;;;FAM150B;
1_merged_PDX_cell_lines_AML_10436_lociStitched;DYRK2;DYRK2;DYRK2;
1_merged_PDX_cell_lines_AML_10437_lociStitched;PPARG;;PPARG;
1_merged_PDX_cell_lines_AML_10438_lociStitched;WHSC1L1;LETM2;WHSC1L1;
1_merged_PDX_cell_lines_AML_10439_lociStitched;;;PENK;
1_merged_PDX_cell_lines_AML_1044_lociStitched;SPTA1;OR6K3 OR6K2;SPTA1;
1_merged_PDX_cell_lines_AML_10440_lociStitched;ZNF580 ZNF581;EPN1 ZNF524 ZNF784 CCDC106 U2AF2 FIZ1 ZNF865;ZNF580;
1_merged_PDX_cell_lines_AML_10441_lociStitched;MAD1L1;;MAD1L1;
1_merged_PDX_cell_lines_AML_10442_lociStitched;;CTXN3;CTXN3;
1_merged_PDX_cell_lines_AML_10443_lociStitched;C17orf55;SLC38A10 TMEM105;C17orf55;
1_merged_PDX_cell_lines_AML_10444_lociStitched;ERI3;;ERI3;
1_merged_PDX_cell_lines_AML_10445_lociStitched;;;PTTG2;
1_merged_PDX_cell_lines_AML_10446_lociStitched;;;BCOR;
1_merged_PDX_cell_lines_AML_10447_lociStitched;ADPRH;PLA1A CD80;ADPRH;
1_merged_PDX_cell_lines_AML_10448_lociStitched;;;VRK2;
1_merged_PDX_cell_lines_AML_10449_lociStitched;PTGER3;;PTGER3;
1_merged_PDX_cell_lines_AML_1045_lociStitched;;;ITGB1;
1_merged_PDX_cell_lines_AML_10450_lociStitched;C21orf57 MCM3AP;C21orf58 PCNT;MCM3AP;
1_merged_PDX_cell_lines_AML_10451_lociStitched;;;USP25;
1_merged_PDX_cell_lines_AML_10452_lociStitched;NEGR1;;NEGR1;
1_merged_PDX_cell_lines_AML_10453_lociStitched;MAD1L1;;ELFN1;
1_merged_PDX_cell_lines_AML_10454_lociStitched;;;MIR1265;
1_merged_PDX_cell_lines_AML_10455_lociStitched;IGF1R;;PGPEP1L;
1_merged_PDX_cell_lines_AML_10456_lociStitched;;SH3TC2;SH3TC2;
1_merged_PDX_cell_lines_AML_10457_lociStitched;MAPKAPK2;;MAPKAPK2;
1_merged_PDX_cell_lines_AML_10458_lociStitched;SNX20;NOD2;SNX20;
1_merged_PDX_cell_lines_AML_10459_lociStitched;;RNF19B;RNF19B;
1_merged_PDX_cell_lines_AML_1046_lociStitched;UBXN11 SH3BGRL3 CCDC21;CD52 UBXN11;SH3BGRL3;
1_merged_PDX_cell_lines_AML_10460_lociStitched;CLVS2;;CLVS2;
1_merged_PDX_cell_lines_AML_10461_lociStitched;CLEC5A;TAS2R38 OR9A4;OR9A4;
1_merged_PDX_cell_lines_AML_10462_lociStitched;;MRPL36 NDUFS6;NDUFS6;
1_merged_PDX_cell_lines_AML_10463_lociStitched;;TNFSF9 TUBB4 CD70;TNFSF9;
1_merged_PDX_cell_lines_AML_10464_lociStitched;BACH2;;BACH2;
1_merged_PDX_cell_lines_AML_10465_lociStitched;;CYTIP;CYTIP;
1_merged_PDX_cell_lines_AML_10466_lociStitched;;HIST1H2AG HIST1H4I HIST1H2AH MIR3143 HIST1H2BK HIST1H2BJ;MIR3143;
1_merged_PDX_cell_lines_AML_10467_lociStitched;;IL1R1;IL1R1;
1_merged_PDX_cell_lines_AML_10468_lociStitched;FMNL2;;FMNL2;
1_merged_PDX_cell_lines_AML_10469_lociStitched;MXD1;SNRNP27 ASPRV1;MXD1;
1_merged_PDX_cell_lines_AML_1047_lociStitched;;PRR3 HLA-E ABCF1 GNL1;HLA-E;
1_merged_PDX_cell_lines_AML_10470_lociStitched;FBXW7 DKFZP434I0714;MIR3140;DKFZP434I0714;
1_merged_PDX_cell_lines_AML_10471_lociStitched;C17orf81 CTDNEP1;ACADVL DLG4 YBX2 CLDN7 DVL2 PHF23 GABARAP MIR324 SLC2A4 C17orf81;CTDNEP1;
1_merged_PDX_cell_lines_AML_10472_lociStitched;GNB4;;GNB4;
1_merged_PDX_cell_lines_AML_10473_lociStitched;FUT11 SEC24C;BMS1P4 SEC24C KIAA0913 NDST2 CHCHD1;FUT11;
1_merged_PDX_cell_lines_AML_10474_lociStitched;CCT7 C2orf7;NOTO FBXO41 SMYD5 CCT7;CCT7;
1_merged_PDX_cell_lines_AML_10475_lociStitched;PHC2;MIR3605;PHC2;
1_merged_PDX_cell_lines_AML_10476_lociStitched;;;KDR;
1_merged_PDX_cell_lines_AML_10477_lociStitched;TTF1;SETX C9orf171;TTF1;
1_merged_PDX_cell_lines_AML_10478_lociStitched;SPPL3;;SPPL3;
1_merged_PDX_cell_lines_AML_10479_lociStitched;;PLXND1;PLXND1;
1_merged_PDX_cell_lines_AML_1048_lociStitched;;BEND6;BEND6;
1_merged_PDX_cell_lines_AML_10480_lociStitched;C20orf194;;C20orf194;
1_merged_PDX_cell_lines_AML_10481_lociStitched;ANKS1B;;APAF1;
1_merged_PDX_cell_lines_AML_10482_lociStitched;ARPC4 TADA3 ARPC4-TTLL3;TTLL3 RPUSD3 OGG1 CAMK1;ARPC4;
1_merged_PDX_cell_lines_AML_10483_lociStitched;KALRN;;KALRN;
1_merged_PDX_cell_lines_AML_10484_lociStitched;;TMPRSS15;TMPRSS15;
1_merged_PDX_cell_lines_AML_10485_lociStitched;;;SNX13;
1_merged_PDX_cell_lines_AML_10486_lociStitched;MITF;;MITF;
1_merged_PDX_cell_lines_AML_10487_lociStitched;SF3B4 MTMR11;BOLA1 HIST2H2BE SV2A HIST2H2AC HIST2H2AB;SF3B4;
1_merged_PDX_cell_lines_AML_10488_lociStitched;ICA1;;ICA1;
1_merged_PDX_cell_lines_AML_10489_lociStitched;HIC1 SMG6;RTN4RL1 DPH1 MIR132 MIR212 OVCA2;HIC1;
1_merged_PDX_cell_lines_AML_1049_lociStitched;;GTDC1;GTDC1;
1_merged_PDX_cell_lines_AML_10490_lociStitched;PICALM;;PICALM;
1_merged_PDX_cell_lines_AML_10491_lociStitched;C19orf6;GRIN3B HMHA1 WDR18 CNN2 ABCA7 C19orf6;C19orf6;
1_merged_PDX_cell_lines_AML_10492_lociStitched;ENC1;HEXB;ENC1;
1_merged_PDX_cell_lines_AML_10493_lociStitched;PHTF1;;PHTF1;
1_merged_PDX_cell_lines_AML_10494_lociStitched;IL18;BCO2 TEX12;IL18;
1_merged_PDX_cell_lines_AML_10495_lociStitched;CD3E;CD3G MPZL2 CD3D;CD3E;
1_merged_PDX_cell_lines_AML_10496_lociStitched;;TFRC LOC401109;TFRC;
1_merged_PDX_cell_lines_AML_10497_lociStitched;CD33;C19orf75;CD33;
1_merged_PDX_cell_lines_AML_10498_lociStitched;MYST4;;MYST4;
1_merged_PDX_cell_lines_AML_10499_lociStitched;;PLK1S1;PLK1S1;
1_merged_PDX_cell_lines_AML_105_lociStitched;;;MBNL1;
1_merged_PDX_cell_lines_AML_1050_lociStitched;;;PABPC1P2;
1_merged_PDX_cell_lines_AML_10500_lociStitched;PIKFYVE;IDH1;PIKFYVE;
1_merged_PDX_cell_lines_AML_10501_lociStitched;;PANK4 HES5 LOC115110 C1orf93 TNFRSF14;C1orf93;
1_merged_PDX_cell_lines_AML_10502_lociStitched;RARRES1;LXN;RARRES1;
1_merged_PDX_cell_lines_AML_10503_lociStitched;ACCN4;GMPPA CHPF TMEM198 INHA ACCN4 OBSL1 MIR3132;ACCN4;
1_merged_PDX_cell_lines_AML_10504_lociStitched;LOC100129637;;LOC100129637;
1_merged_PDX_cell_lines_AML_10505_lociStitched;;ATF7IP2;ATF7IP2;
1_merged_PDX_cell_lines_AML_10506_lociStitched;;GLDC KDM4C;GLDC;
1_merged_PDX_cell_lines_AML_10507_lociStitched;TMEM2;;TMEM2;
1_merged_PDX_cell_lines_AML_10508_lociStitched;;IL1RL1;IL1RL1;
1_merged_PDX_cell_lines_AML_10509_lociStitched;NRP2;;NRP2;
1_merged_PDX_cell_lines_AML_1051_lociStitched;ZBTB7A;PIAS4;ZBTB7A;
1_merged_PDX_cell_lines_AML_10510_lociStitched;NCOA2;;PRDM14;
1_merged_PDX_cell_lines_AML_10511_lociStitched;;IL13RA1;IL13RA1;
1_merged_PDX_cell_lines_AML_10512_lociStitched;FAM173A CCDC78;MSLN WDR24 HAGHL STUB1 METRN MIR662 FBXL16 JMJD8 RHBDL1 NARFL;FAM173A;
1_merged_PDX_cell_lines_AML_10513_lociStitched;;PTGS2;PTGS2;
1_merged_PDX_cell_lines_AML_10514_lociStitched;NEIL1;COMMD4 MIR631 MAN2C1;NEIL1;
1_merged_PDX_cell_lines_AML_10515_lociStitched;GNA13;;GNA13;
1_merged_PDX_cell_lines_AML_10516_lociStitched;PIK3CB;;PIK3CB;
1_merged_PDX_cell_lines_AML_10517_lociStitched;;;SLITRK1;
1_merged_PDX_cell_lines_AML_10518_lociStitched;CDC27;MYL4 CDC27;CDC27;
1_merged_PDX_cell_lines_AML_10519_lociStitched;LOC100422737;;LOC100422737;
1_merged_PDX_cell_lines_AML_1052_lociStitched;CPNE5;;CPNE5;
1_merged_PDX_cell_lines_AML_10520_lociStitched;HTR2A;HTR2A;HTR2A;
1_merged_PDX_cell_lines_AML_10521_lociStitched;;CAPG SH2D6;CAPG;
1_merged_PDX_cell_lines_AML_10522_lociStitched;RAB37;CD300LF RAB37;RAB37;
1_merged_PDX_cell_lines_AML_10523_lociStitched;MAML2;;MIR1260B;
1_merged_PDX_cell_lines_AML_10524_lociStitched;;;AKAP11;
1_merged_PDX_cell_lines_AML_10525_lociStitched;ITPR2;;ITPR2;
1_merged_PDX_cell_lines_AML_10526_lociStitched;;;POM121L12;
1_merged_PDX_cell_lines_AML_10527_lociStitched;KIAA1310;FER1L5 KIAA1310;KIAA1310;
1_merged_PDX_cell_lines_AML_10528_lociStitched;NAMPT;;NAMPT;
1_merged_PDX_cell_lines_AML_10529_lociStitched;MTM1;;MTM1;
1_merged_PDX_cell_lines_AML_1053_lociStitched;JUNB;ASNA1 HOOK2 RNASEH2A PRDX2 RTBDN C19orf43 MAST1 BEST2;JUNB;
1_merged_PDX_cell_lines_AML_10530_lociStitched;;CCDC147 ITPRIP;CCDC147;
1_merged_PDX_cell_lines_AML_10531_lociStitched;DIP2C;;ZMYND11;
1_merged_PDX_cell_lines_AML_10532_lociStitched;PPIA;ZMIZ2 H2AFV;PPIA;
1_merged_PDX_cell_lines_AML_10533_lociStitched;DERL1;DERL1;DERL1;
1_merged_PDX_cell_lines_AML_10534_lociStitched;;;FLJ30838;
1_merged_PDX_cell_lines_AML_10535_lociStitched;TDRD9;C14orf2;TDRD9;
1_merged_PDX_cell_lines_AML_10536_lociStitched;PDGFB;;PDGFB;
1_merged_PDX_cell_lines_AML_10537_lociStitched;C16orf68;ABAT;C16orf68;
1_merged_PDX_cell_lines_AML_10538_lociStitched;FAT1;MTNR1A;MTNR1A;
1_merged_PDX_cell_lines_AML_10539_lociStitched;FSTL5;;FSTL5;
1_merged_PDX_cell_lines_AML_1054_lociStitched;TNRC18;;TNRC18;
