KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ADAD2,2.51,1,4.29,1,0,1.49,0,1
ADAL,160,251,271,191,160,183,134,319
ADAM10,4173,5321,6011,4580,3423,3624,3573,6957
ADAM11,27,41,43,30,14,17,27,51
ADAM12,1,2,3,5,4,3,1,6
ADAM15,702,1372,1124,731,797,636,685,1347
ADAM17,828.33,1090.2,1157.5,935.76,634.41,754.54,632.58,1363.3
ADAM1A,9.59,14.56,20.91,26.45,18.96,0,31.71,39.66
ADAM1B,4,3,9,4,2,4,6,11
ADAM20,0,0,0,0,0,2,0,2
ADAM20P1,0,6,6,2,5,1,0,2
ADAM20P3,0,1,0,0,0,0,0,0
ADAM21,2,4,1,3,3,0,0,1.14
ADAM21P1,0,0,0,0,0,0,0,0.86
ADAM22,20,28,25,23,18,37,16,38
ADAM23,1,4,8,3,2,3,1,4
ADAM28,5,8,5,2,1,1,3,5
ADAM32,1,3,0,1,1,1,0,1
ADAM8,42,109,109,86,51,44,41,72
ADAM9,490,706,797,549,406,447,403,779
ADAMDEC1,1,4,3,3,2,0,1,3
ADAMTS10,35,77,73,56,37,31,36,58
ADAMTS13,10,34,25,23,23,20,18,29
ADAMTS14,74,117,109,82,44,54,61,95
ADAMTS15,8,5,3,4,3,3,0,0
ADAMTS16,0,0,0,0,1,0,0,0
ADAMTS17,9.55,16,11,5.95,4,7,6,16
ADAMTS2,0,1,6,2,1,0,0,2
ADAMTS4,6,10,17,7,10,2,5,10
ADAMTS5,0,0,1,0,1,3,1,1
ADAMTS6,14,28,24,32,9,10,7,27
ADAMTS7,1,5,0,1,1,2,3,0
ADAMTS7P4,0,0,1,0,0,0,0,0
ADAMTS8,4,2,1,1,0,0,1,0
ADAMTS9,0,1,0,0,0,0,0,0
ADAMTSL2,89,147,136,93,51,50,44,79
ADAMTSL4,200.57,326.8,321.74,182,182.26,144.62,143.1,306.76
ADAMTSL4-AS1,10.43,9.2,2.26,0,1.74,6.38,4.9,13.24
ADAMTSL4-AS2,0,0,0,0,0,0,1,0
ADAMTSL5,39,42,27,34,20,29,27,47
ADAP1,598,1181,906,640,540,408,412,847
ADAP2,3,10,7,6,3,8,2,8
ADAR,4371,7489,6368,4405,3644,3234,3105,6634
ADARB1,726,1233,1151,832,562,489,502,973
ADAT1,193.96,353,310,192,175,155,132,362.9
ADAT2,284,453,428,350,273,297,255,579
ADAT3,56.38,146.59,108.56,82,55.87,44.87,52,86.88
ADCK1,104,220,191,141,131,119,98,215
ADCK2,147,303.2,252,173,157,111.01,120,227
ADCK5,154,268,262,149,144,119,144,314
ADCY1,16,25,29,23,8,5,12,15
ADCY10,1,2,2,0,0,1,1,0
ADCY10P1,15,17,25,15,19,12,13,22
ADCY2,3,0,1,0,2,3,1,1
ADCY3,1290.5,2387.1,1965.7,1376.7,1044.8,836.39,852.43,1838.3
ADCY4,28,41,44,31,14,15,12,34
ADCY5,1,3,4,5,2,1,0,2
ADCY6,27,68,63,40,24,31.56,24.94,57.51
ADCY7,1874,3409.3,3083.6,1982.8,2411.7,1774,1879.9,4035.4
ADCY9,3422,4904,4480,3448,2060,1740,1697,3902
ADCYAP1R1,2,6,8,3,0,1,2,3
ADD1,2834,4950,4605,3338,2386,2163,2151,4485
ADD2,4700,6824,6806,4868,3271,3108,3109,6186
ADD3,694,972,1096,851,421,474,426,766
ADD3-AS1,0,1,1,0,0,1,1,0
ADGB,4,6,4,3,4,7,9,10
ADGRA2,3764.3,5962.7,5363,4184.5,2883.4,2490.6,2452.5,5147.7
ADGRA3,298,444.97,470,346,306,281,232.97,564
ADGRB1,42,85,105,57,45,38,48,77
ADGRB2,0,2,0,0,0,0,0,0
ADGRB3,1,0,1,1,0,0,0,0
ADGRD1,11,24,37,13,14,12,9,34
ADGRD2,0,0,0,1,0,0,0,0
ADGRE1,11,27,15,18,18,22,22,36
ADGRE2,1054.3,1621.2,1708,1129.3,877.55,854.59,892.48,1716.8
