GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
TIMM21,28.0,19.0,66.0,40.0,28.0,23.0,33.0,35.0,25.0,30.0,31.0,43.0,39.0,34.0
STXBP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00339,31.0,15.0,43.0,47.0,24.0,21.0,22.0,35.0,18.0,30.0,24.0,47.0,44.0,36.0
MRPL22,6.0,4.0,9.0,9.0,7.0,3.0,7.0,6.0,6.0,7.0,6.0,11.0,11.0,10.0
LGALSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORMDL2,14.0,7.0,19.0,19.0,9.0,11.0,10.0,16.0,5.0,16.0,12.0,17.0,29.0,8.0
CNIH4,33.0,14.0,51.0,34.0,22.0,24.0,26.0,33.0,14.0,38.0,28.0,64.0,51.0,47.0
RANGRF,28.0,16.0,49.0,29.0,25.0,9.0,19.0,25.0,17.0,14.0,26.0,37.0,37.0,33.0
COMMD9,43.0,40.0,81.0,73.0,41.0,36.0,27.0,44.0,22.0,41.0,35.0,64.0,71.0,45.0
TMEM208,11.0,4.0,19.0,15.0,11.0,5.0,11.0,10.0,9.0,5.0,10.0,13.0,11.0,12.0
SSU72,31.0,29.0,74.0,56.0,28.0,15.0,36.0,42.0,23.0,34.0,66.0,75.0,109.0,62.0
DROSHA,10.0,5.0,18.0,14.0,8.0,11.0,13.0,12.0,5.0,8.0,12.0,11.0,14.0,9.0
DNAJC15,9.0,7.0,14.0,11.0,7.0,5.0,8.0,10.0,6.0,6.0,12.0,19.0,16.0,12.0
N6AMT1,7.0,6.0,14.0,10.0,6.0,10.0,8.0,13.0,4.0,8.0,11.0,16.0,15.0,7.0
CFAP20,64.0,28.0,94.0,60.0,54.0,39.0,44.0,50.0,35.0,53.0,54.0,58.0,93.0,28.0
NXT1,83.0,49.0,120.0,81.0,63.0,42.0,61.0,56.0,58.0,61.0,89.0,72.0,131.0,54.0
PYCARD,22.0,16.0,24.0,31.0,15.0,17.0,9.0,14.0,11.0,18.0,13.0,24.0,25.0,29.0
FHOD1,13.0,13.0,23.0,20.0,10.0,7.0,10.0,9.0,12.0,7.0,18.0,15.0,31.0,11.0
TBK1,27.0,27.0,77.0,58.0,40.0,40.0,36.0,48.0,20.0,55.0,47.0,74.0,62.0,62.0
