GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
FXR1,1814.0,1737.8,2039.6,1670.8,2077.4,1358.4,1299.2,1428.8,1130.4,1578.4,1739.2,1866.2,2160.8,1397.2
YEATS4,747.4,829.0,950.2,854.8,723.6,649.0,529.0,600.2,511.2,732.8,762.8,657.8,958.6,338.2
HMGA2,1.8,4.4,1.6,4.0,1.4,2.2,2.2,1.4,3.8,2.6,1.0,5.8,3.0,4.4
CDK2AP1,862.2,935.6,1062.6,1014.6,794.0,646.0,622.6,709.2,554.2,951.0,744.8,965.4,891.4,873.2
IFT88,25.4,21.8,25.0,26.0,28.2,21.2,16.0,20.8,18.6,28.2,29.6,30.6,34.8,37.6
PABPN1,5608.8,4236.2,5276.8,4214.0,3943.4,1923.6,2907.8,3728.6,2736.8,3972.4,3231.6,4290.8,3527.0,3663.6
DPF3,13.6,22.0,16.6,23.4,14.6,14.6,8.0,25.8,6.8,32.4,8.4,49.4,12.6,50.0
GPR68,34.6,17.8,33.2,18.4,28.2,11.6,14.0,16.0,11.0,20.4,16.6,21.4,23.4,18.2
ANP32A,14520.4,14894.8,18490.2,15309.0,14950.0,8671.2,9799.4,9482.2,8786.2,11117.6,11005.6,13130.6,14261.4,10864.2
NPRL3,291.8,241.0,251.4,243.8,230.8,162.2,168.4,169.2,155.6,204.8,206.0,253.6,269.6,290.6
GAN,92.2,125.0,137.0,141.4,166.4,102.0,96.0,86.6,61.2,88.0,82.4,91.8,84.8,37.4
SLC7A5,5688.2,5598.4,5007.0,4297.0,3938.6,2005.0,3063.8,3297.2,2204.6,3001.4,4040.4,3068.2,4970.4,1491.6
TAF15,1062.6,756.8,964.2,812.0,613.0,439.0,476.0,689.6,495.2,720.2,472.6,716.0,541.2,623.4
RND2,9.0,14.0,12.0,15.2,7.4,7.2,2.0,5.4,3.6,7.0,4.2,7.6,6.2,7.6
COIL,948.8,953.0,1286.8,921.8,1067.2,673.4,649.0,612.8,572.6,644.2,660.8,632.4,606.4,413.2
AKAP1,999.8,928.6,998.0,753.0,948.2,412.8,602.8,477.2,548.4,553.0,697.4,587.8,710.0,595.0
SLC14A2,4.8,7.6,8.4,10.8,6.2,4.4,3.4,4.6,2.6,7.0,9.4,7.0,8.6,4.4
MADCAM1,1.2,3.2,1.6,1.2,0.8,0.6,1.2,2.4,0.8,2.2,3.0,2.0,2.4,4.6
SF3A2,106.6,119.4,98.2,85.2,64.6,49.2,55.4,47.0,53.8,55.6,77.6,80.8,81.6,86.6
ELL,425.0,384.4,375.8,327.6,314.8,168.2,244.4,310.4,190.0,330.4,275.8,419.4,230.0,246.6
SYMPK,44.4,39.2,28.2,31.0,23.0,17.0,19.4,17.8,18.8,22.0,27.4,36.2,31.8,39.6
