task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
149	3d/5e86f2	1879520849753628842	MACS2_ANNOTATE (MV411_MYB_DMSO-MED1_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 01:36:35.612	6m 37s	2m 51s	100.0%	2.4 GB	2.5 GB	1.6 GB	355.2 MB
148	07/8892bf	13156613957694417354	MACS2_ANNOTATE (MV411_MYB_VHL-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 01:34:36.990	8m 46s	4m 34s	100.0%	2.5 GB	2.6 GB	1.7 GB	372.1 MB
127	c9/1aea57	1520821139125287828	PHANTOMPEAKQUALTOOLS (INPUT_R1)	COMPLETED	0	2022-05-12 00:59:14.838	46m 7s	41m 30s	63.7%	5.9 GB	6.4 GB	48.3 GB	42.6 GB
150	00/438495	539233986645141068	MACS2_ANNOTATE (MV411_MYB_VHL-POLII_total_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 01:40:34.697	8m 48s	4m 30s	100.0%	2.6 GB	2.6 GB	1.7 GB	381.2 MB
140	7e/739a46	10326422268768289621	MACS2 (MV411_MYB_VHL-MYB_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:20.674	52m 1s	45m 50s	107.6%	4.2 GB	4.6 GB	33.8 GB	17.8 GB
138	70/840e0c	16906918603607082385	MACS2 (MV411_MYB_DMSO-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:17.369	52m 44s	47m 17s	106.4%	4.2 GB	4.5 GB	30.5 GB	16.2 GB
142	1d/4b1e36	8591859489285033747	MACS2 (MV411_MYB_VHL-MED1_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:18.989	53m 3s	47m 32s	107.5%	4.1 GB	4.5 GB	32.6 GB	17 GB
144	4f/1fe17c	8712508804476128711	MACS2 (MV411_MYB_DMSO-POLII_total_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:18.614	57m 3s	51m 33s	107.3%	4.3 GB	4.6 GB	33.8 GB	18 GB
141	7c/e892c5	6229415431704310990	MACS2 (MV411_MYB_DMSO-MYB_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:20.130	57m 22s	51m 1s	107.4%	4.4 GB	4.7 GB	35.8 GB	18.7 GB
151	b9/235668	6172439369464207362	MACS2_ANNOTATE (MV411_MYB_VHL-MYB_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 01:51:24.836	6m 47s	2m 59s	100.0%	2.5 GB	2.5 GB	1.6 GB	369.9 MB
152	e8/016ddf	3012828525831158155	MACS2_ANNOTATE (MV411_MYB_DMSO-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 01:52:04.244	6m 37s	2m 53s	99.9%	2.5 GB	2.5 GB	1.7 GB	377.8 MB
157	18/e41607	3315113267171310622	CONSENSUS_PEAKS (MED1)	COMPLETED	0	2022-05-12 01:56:44.864	3m 7s	2.3s	89.6%	70.3 MB	143.6 MB	24.3 MB	9.4 MB
156	45/c6f925	3069664924111994164	CONSENSUS_PEAKS (MYC)	COMPLETED	0	2022-05-12 01:56:45.340	3m 9s	4.3s	92.1%	87.3 MB	457.4 MB	55.4 MB	32 MB
159	4b/ff22f4	16734867937640755045	CONSENSUS_PEAKS (POLII_total)	COMPLETED	0	2022-05-12 01:56:43.874	3m 18s	4.5s	92.0%	74.6 MB	545.7 MB	62.1 MB	36.4 MB
